study,cohort,index,w0_ba,w05_ba,w03_ba,w07_ba,E_mean_ba,E_vote_ba,w0_f1,w05_f1,w03_f1,w07_f1,E_mean_f1,E_vote_f1
seed,PD-252,11,0.7362694678484152,0.7333187438450597,0.7522723127986286,0.720542911332385,0.7499854105117263,0.7499854105117263,0.7354187270853938,0.7482122790341466,0.7603384728312264,0.7480266007705032,0.7629361352549757,0.7629361352549757
seed,PD-252,12,0.7331281686544845,0.7224851369588212,0.715089178247073,0.7118649013385856,0.7197824342561183,0.7197824342561183,0.7386075358031832,0.7373557985471895,0.7277072892803056,0.7301191470781283,0.7329617273722964,0.7329617273722964
seed,PD-252,13,0.7249489367910422,0.7277710909289856,0.7303543421964476,0.7301774446511289,0.7383913265492212,0.7383913265492212,0.7261293054771316,0.7382925185251412,0.7336780630258891,0.745582666530155,0.7457603233742136,0.7457603233742136
seed,PD-252,14,0.738698617645986,0.7598707006601744,0.7651566546303388,0.7201982346719189,0.7545364190101033,0.7518337163074006,0.7353008300376722,0.7773297879723986,0.7749069301980069,0.7409038800705467,0.768570431386955,0.7641763602120619
seed,PD-252,15,0.7275914578546157,0.7486322354743408,0.7435231790494948,0.7245468140204981,0.7569655688076742,0.7542628661049714,0.7260133353521961,0.7611522437489711,0.7478825922370269,0.7424032046152564,0.7687817450493585,0.7644477876261562
seed,PD-252,16,0.7438906517853886,0.7415098296677243,0.7494984863405916,0.733295947769632,0.7415098296677243,0.7361755480176532,0.743053391053391,0.7534842934842936,0.755907689204332,0.7560864661654134,0.7534842934842936,0.7458171314946261
seed,PD-252,17,0.7331509647299121,0.7361755480176533,0.736543020753547,0.7406435788014736,0.7335439690702849,0.7308412663675822,0.7297180915672499,0.7462940003513643,0.742087803317399,0.7580585635513172,0.742659522556182,0.7384919498954586
seed,PD-252,18,0.7146961739067003,0.7215705584126637,0.7301291169712222,0.7196283327862274,0.7325354706933654,0.7244984863405916,0.7144847094658907,0.7317966587894125,0.736084227977555,0.7390705467372134,0.7442966587894124,0.7321677333211914
seed,PD-252,19,0.7439617755407228,0.7526169894590946,0.7576065944486997,0.754311193784878,0.7576065944486997,0.7576065944486997,0.7426122123490544,0.7648145387180475,0.7673310808414986,0.7756335598297623,0.7673310808414986,0.7673310808414986
seed,PD-252,20,0.720611299558668,0.7382372250793303,0.7442353284458548,0.7362949994528942,0.7412362767625926,0.7468669073932233,0.715974839263777,0.7489628556180566,0.7473516350028139,0.7558347073304879,0.7481584758654145,0.7507836157903257
