study,cohort,index,w,ba,f1
seed,PD-252,18,0.1,0.7226620345041398,0.7264540534267041
seed,PD-252,18,0.2,0.7220921326184484,0.7246393284689301
seed,PD-252,18,0.3,0.7301291169712222,0.736084227977555
seed,PD-252,18,0.4,0.7244984863405916,0.7321677333211914
seed,PD-252,18,0.5,0.7215705584126637,0.7317966587894125
seed,PD-252,18,0.6,0.7165809534230586,0.7290963750438636
seed,PD-252,18,0.7,0.7196283327862274,0.7390705467372134
seed,PD-252,18,0.8,0.7326549221286064,0.7529575331137163
seed,PD-252,18,0.9,0.7072199730094467,0.7293853100966097
seed,PD-252,18,1.0,0.6041497975708502,0.607477486234805
seed,PD-252,19,0.0,0.7439617755407228,0.7426122123490544
seed,PD-252,19,0.1,0.7390432943064522,0.7393546365914787
seed,PD-252,19,0.2,0.7470802786592261,0.751797240821958
seed,PD-252,19,0.3,0.7576065944486997,0.7673310808414986
seed,PD-252,19,0.4,0.7576065944486997,0.7673310808414986
seed,PD-252,19,0.5,0.7526169894590946,0.7648145387180475
seed,PD-252,19,0.6,0.7573102454681402,0.7748508158508158
seed,PD-252,19,0.7,0.754311193784878,0.7756335598297623
seed,PD-252,19,0.8,0.7051582959477696,0.730813907133893
seed,PD-252,19,0.9,0.7001686909581647,0.7260151828229736
seed,PD-252,19,1.0,0.6509446693657219,0.6674234765430305
seed,PD-252,20,0.0,0.720611299558668,0.715974839263777
seed,PD-252,20,0.1,0.7363405916037495,0.7354406400156812
seed,PD-252,20,0.2,0.7416037494984863,0.7432112841256209
seed,PD-252,20,0.3,0.7442353284458548,0.7473516350028139
seed,PD-252,20,0.4,0.7468669073932233,0.7507836157903257
seed,PD-252,20,0.5,0.7382372250793303,0.7489628556180566
seed,PD-252,20,0.6,0.7358791990370938,0.7498468271234295
seed,PD-252,20,0.7,0.7362949994528942,0.7558347073304879
seed,PD-252,20,0.8,0.7359986504723347,0.7609013397417335
seed,PD-252,20,0.9,0.7232456140350878,0.7479443018114391
seed,PD-252,20,1.0,0.6272267206477732,0.6390415724522741
seed,PD-252,21,0.0,0.7334245176350439,0.7325960841277827
seed,PD-252,21,0.1,0.7360560965824124,0.736582375614074
seed,PD-252,21,0.2,0.7360560965824124,0.736582375614074
seed,PD-252,21,0.3,0.7494273625852573,0.7565350117718538
seed,PD-252,21,0.4,0.7574643469380311,0.7691768927329725
seed,PD-252,21,0.5,0.7595260239997083,0.7722296712473353
seed,PD-252,21,0.6,0.7511926906663748,0.7646001699469478
seed,PD-252,21,0.7,0.7509674654411497,0.7698221448221447
seed,PD-252,21,0.8,0.72553251632199,0.749406799519123
seed,PD-252,21,0.9,0.6995276653171391,0.7252670670502536
seed,PD-252,21,1.0,0.6201754385964912,0.6256697837009638
seed,PD-252,22,0.0,0.7356284422073897,0.7353494630161297
seed,PD-252,22,0.1,0.733270416165153,0.7360677191554383
seed,PD-252,22,0.2,0.733270416165153,0.7360677191554383
seed,PD-252,22,0.3,0.7386046978152241,0.7438425478278137
seed,PD-252,22,0.4,0.7305449173870227,0.742994434887762
seed,PD-252,22,0.5,0.7332476200897254,0.7473283923109643
seed,PD-252,22,0.6,0.7385819017397964,0.7556423489642166
seed,PD-252,22,0.7,0.7174955319692162,0.7382989491950257
seed,PD-252,22,0.8,0.7128506036400774,0.7393930385974719
seed,PD-252,22,0.9,0.6924763832658569,0.7170625558838951
seed,PD-252,22,1.0,0.6201754385964913,0.6310789674116212
seed,PD-252,23,0.0,0.7261480103585367,0.7292901064518172
seed,PD-252,23,0.1,0.7261480103585367,0.7292901064518172
seed,PD-252,23,0.2,0.7211584053689316,0.727789375426482
seed,PD-252,23,0.3,0.7318980924244082,0.7438793110722937
seed,PD-252,23,0.4,0.7339597694860853,0.7495889674779834
seed,PD-252,23,0.5,0.7392940511361565,0.7581216247520596
seed,PD-252,23,0.6,0.7232684101105155,0.7424854696116849
seed,PD-252,23,0.7,0.7313053944632892,0.7555529952154425
seed,PD-252,23,0.8,0.7206140350877193,0.7485336554442246
seed,PD-252,23,0.9,0.7001686909581647,0.7266465638430392
seed,PD-252,23,1.0,0.6355600539811066,0.649875372913393
partition,UCI-489,0,0.0,0.8625,0.862156862745098
partition,UCI-489,0,0.1,0.8625,0.862156862745098
partition,UCI-489,0,0.2,0.8625,0.862156862745098
partition,UCI-489,0,0.3,0.8625,0.862156862745098
partition,UCI-489,0,0.4,0.8625,0.862156862745098
partition,UCI-489,0,0.5,0.8625,0.862156862745098
partition,UCI-489,0,0.6,0.875,0.874407096171802
partition,UCI-489,0,0.7,0.8625,0.8617600373482727
partition,UCI-489,0,0.8,0.8625,0.8617600373482727
partition,UCI-489,0,0.9,0.825,0.8240149393090569
partition,UCI-489,0,1.0,0.7125,0.705816142921406
partition,UCI-489,1,0.0,0.8375,0.8366619981325863
partition,UCI-489,1,0.1,0.8375,0.8366619981325863
partition,UCI-489,1,0.2,0.8375,0.8366619981325863
partition,UCI-489,1,0.3,0.8375,0.8366619981325863
partition,UCI-489,1,0.4,0.8625,0.862156862745098
partition,UCI-489,1,0.5,0.875,0.8746078431372549
partition,UCI-489,1,0.6,0.875,0.8746078431372549
partition,UCI-489,1,0.7,0.8625,0.862156862745098
partition,UCI-489,1,0.8,0.825,0.8247058823529411
partition,UCI-489,1,0.9,0.8375,0.8372549019607843
partition,UCI-489,1,1.0,0.6125,0.6035854341736695
partition,UCI-489,2,0.0,0.8625,0.8619561157796453
partition,UCI-489,2,0.1,0.8625,0.8619561157796453
partition,UCI-489,2,0.2,0.8625,0.8619561157796453
partition,UCI-489,2,0.3,0.8625,0.8619561157796453
partition,UCI-489,2,0.4,0.8625,0.8619561157796453
partition,UCI-489,2,0.5,0.8625,0.8619561157796453
partition,UCI-489,2,0.6,0.8625,0.8619561157796453
partition,UCI-489,2,0.7,0.875,0.8743090569561158
partition,UCI-489,2,0.8,0.875,0.8743090569561158
partition,UCI-489,2,0.9,0.8875,0.8869561157796453
partition,UCI-489,2,1.0,0.625,0.6208403361344539
partition,UCI-489,3,0.0,0.8375,0.8361624649859944
partition,UCI-489,3,0.1,0.8375,0.8361624649859944
partition,UCI-489,3,0.2,0.8375,0.8361624649859944
partition,UCI-489,3,0.3,0.85,0.8488095238095237
partition,UCI-489,3,0.4,0.85,0.8488095238095237
partition,UCI-489,3,0.5,0.85,0.8488095238095237
partition,UCI-489,3,0.6,0.85,0.8488095238095237
partition,UCI-489,3,0.7,0.8625,0.8619561157796453
partition,UCI-489,3,0.8,0.8125,0.8119561157796452
partition,UCI-489,3,0.9,0.8,0.7990102707749767
partition,UCI-489,3,1.0,0.625,0.614998582428923
partition,UCI-489,4,0.0,0.85,0.8488095238095237
partition,UCI-489,4,0.1,0.85,0.8488095238095237
partition,UCI-489,4,0.2,0.8375,0.8362605042016806
partition,UCI-489,4,0.3,0.8375,0.8362605042016806
partition,UCI-489,4,0.4,0.8375,0.8362605042016806
partition,UCI-489,4,0.5,0.8375,0.8362605042016806
partition,UCI-489,4,0.6,0.85,0.8486134453781513
partition,UCI-489,4,0.7,0.85,0.8482904659839644
partition,UCI-489,4,0.8,0.8375,0.8359375248074938
partition,UCI-489,4,0.9,0.825,0.8239122315592905
partition,UCI-489,4,1.0,0.6625,0.6579490959676718
partition,UCI-489,5,0.0,0.8625,0.8612605042016807
partition,UCI-489,5,0.1,0.85,0.8483146591970121
partition,UCI-489,5,0.2,0.85,0.8483146591970121
partition,UCI-489,5,0.3,0.85,0.8483146591970121
partition,UCI-489,5,0.4,0.85,0.8483146591970121
partition,UCI-489,5,0.5,0.85,0.8483146591970121
partition,UCI-489,5,0.6,0.85,0.8483146591970121
partition,UCI-489,5,0.7,0.85,0.8483146591970121
partition,UCI-489,5,0.8,0.85,0.8483146591970121
partition,UCI-489,5,0.9,0.8375,0.8366619981325863
partition,UCI-489,5,1.0,0.6125,0.5882620303672935
partition,UCI-489,6,0.0,0.825,0.82025125029769
partition,UCI-489,6,0.1,0.825,0.82025125029769
partition,UCI-489,6,0.2,0.8375,0.8337208216619981
partition,UCI-489,6,0.3,0.825,0.82025125029769
partition,UCI-489,6,0.4,0.825,0.82025125029769
partition,UCI-489,6,0.5,0.825,0.82025125029769
partition,UCI-489,6,0.6,0.825,0.82025125029769
partition,UCI-489,6,0.7,0.825,0.82025125029769
partition,UCI-489,6,0.8,0.8125,0.8075061522584743
partition,UCI-489,6,0.9,0.7875,0.778928357504209
partition,UCI-489,6,1.0,0.65,0.6225176131058483
partition,UCI-489,7,0.0,0.85,0.8490102707749767
