cohort,fold,variant,ba,f1
UCI-489,2,early w=0.5 (paper),0.8125,0.8117647058823529
UCI-489,2,Euclidean RBF w=0,0.875,0.873015873015873
UCI-489,2,early w=0.5 C=0.3,0.75,0.75
UCI-489,2,Euclidean RBF C=0.3,0.75,0.75
UCI-489,2,early w=0.5 C=3,0.75,0.75
UCI-489,2,Euclidean RBF C=3,0.8125,0.8117647058823529
UCI-489,2,early w=0.5 C=10,0.75,0.75
UCI-489,2,Euclidean RBF C=10,0.8125,0.8117647058823529
UCI-489,2,late lam=0.2,0.8125,0.8117647058823529
UCI-489,2,late lam=0.3,0.75,0.746031746031746
UCI-489,2,late lam=0.5,0.75,0.746031746031746
UCI-489,2,rank-1 Grassmann only,0.4375,0.43529411764705883
UCI-489,2,rank-1 early w=0.5,0.875,0.873015873015873
UCI-489,2,rank-1 early w=0.3,0.875,0.873015873015873
UCI-489,2,rank-1 late lam=0.3,0.75,0.75
UCI-489,2,PCA4 Grassmann only,0.625,0.625
UCI-489,2,PCA4 early w=0.3,0.75,0.75
UCI-489,2,PCA4 early w=0.5,0.75,0.75
UCI-489,2,PCA4 late lam=0.3,0.6875,0.6862745098039216
UCI-489,2,PCA4 late lam=0.5,0.6875,0.6862745098039216
UCI-489,2,PCA8 Grassmann only,0.5625,0.5465587044534412
UCI-489,2,PCA8 early w=0.3,0.8125,0.8117647058823529
UCI-489,2,PCA8 early w=0.5,0.8125,0.8117647058823529
UCI-489,2,PCA8 late lam=0.3,0.75,0.746031746031746
UCI-489,2,PCA8 late lam=0.5,0.6875,0.6862745098039216
UCI-489,2,PCA16 Grassmann only,0.75,0.746031746031746
UCI-489,2,PCA16 early w=0.3,0.8125,0.8117647058823529
UCI-489,2,PCA16 early w=0.5,0.8125,0.8117647058823529
UCI-489,2,PCA16 late lam=0.3,0.75,0.746031746031746
UCI-489,2,PCA16 late lam=0.5,0.75,0.746031746031746
UCI-489,2,PCA32 Grassmann only,0.75,0.75
UCI-489,2,PCA32 early w=0.3,0.8125,0.8117647058823529
UCI-489,2,PCA32 early w=0.5,0.8125,0.8117647058823529
UCI-489,2,PCA32 late lam=0.3,0.75,0.746031746031746
UCI-489,2,PCA32 late lam=0.5,0.75,0.746031746031746
UCI-489,3,early w=0.5 (paper),1.0,1.0
UCI-489,3,Euclidean RBF w=0,1.0,1.0
UCI-489,3,early w=0.5 C=0.3,1.0,1.0
UCI-489,3,Euclidean RBF C=0.3,1.0,1.0
UCI-489,3,early w=0.5 C=3,1.0,1.0
UCI-489,3,Euclidean RBF C=3,1.0,1.0
UCI-489,3,early w=0.5 C=10,0.8125,0.8117647058823529
UCI-489,3,Euclidean RBF C=10,0.8125,0.805668016194332
UCI-489,3,late lam=0.2,1.0,1.0
UCI-489,3,late lam=0.3,1.0,1.0
UCI-489,3,late lam=0.5,1.0,1.0
UCI-489,3,rank-1 Grassmann only,0.3125,0.30980392156862746
UCI-489,3,rank-1 early w=0.5,0.9375,0.9372549019607843
UCI-489,3,rank-1 early w=0.3,1.0,1.0
UCI-489,3,rank-1 late lam=0.3,1.0,1.0
UCI-489,3,PCA4 Grassmann only,0.6875,0.6862745098039216
UCI-489,3,PCA4 early w=0.3,1.0,1.0
UCI-489,3,PCA4 early w=0.5,0.9375,0.9372549019607843
UCI-489,3,PCA4 late lam=0.3,0.9375,0.9372549019607843
UCI-489,3,PCA4 late lam=0.5,0.8125,0.8117647058823529
UCI-489,3,PCA8 Grassmann only,0.6875,0.6761133603238867
UCI-489,3,PCA8 early w=0.3,0.9375,0.9372549019607843
UCI-489,3,PCA8 early w=0.5,0.9375,0.9372549019607843
UCI-489,3,PCA8 late lam=0.3,0.9375,0.9372549019607843
UCI-489,3,PCA8 late lam=0.5,0.75,0.746031746031746
UCI-489,3,PCA16 Grassmann only,0.5625,0.5465587044534412
UCI-489,3,PCA16 early w=0.3,1.0,1.0
UCI-489,3,PCA16 early w=0.5,1.0,1.0
UCI-489,3,PCA16 late lam=0.3,1.0,1.0
UCI-489,3,PCA16 late lam=0.5,0.9375,0.9372549019607843
UCI-489,3,PCA32 Grassmann only,0.5,0.4920634920634921
UCI-489,3,PCA32 early w=0.3,1.0,1.0
UCI-489,3,PCA32 early w=0.5,1.0,1.0
UCI-489,3,PCA32 late lam=0.3,1.0,1.0
UCI-489,3,PCA32 late lam=0.5,1.0,1.0
UCI-489,4,early w=0.5 (paper),0.8125,0.805668016194332
UCI-489,4,Euclidean RBF w=0,0.8125,0.805668016194332
UCI-489,4,early w=0.5 C=0.3,0.8125,0.8117647058823529
UCI-489,4,Euclidean RBF C=0.3,0.8125,0.805668016194332
UCI-489,4,early w=0.5 C=3,0.75,0.746031746031746
UCI-489,4,Euclidean RBF C=3,0.8125,0.805668016194332
UCI-489,4,early w=0.5 C=10,0.6875,0.6862745098039216
UCI-489,4,Euclidean RBF C=10,0.75,0.75
UCI-489,4,late lam=0.2,0.8125,0.8117647058823529
UCI-489,4,late lam=0.3,0.8125,0.8117647058823529
UCI-489,4,late lam=0.5,0.8125,0.8117647058823529
UCI-489,4,rank-1 Grassmann only,0.5625,0.5607843137254902
UCI-489,4,rank-1 early w=0.5,0.8125,0.805668016194332
UCI-489,4,rank-1 early w=0.3,0.8125,0.805668016194332
UCI-489,4,rank-1 late lam=0.3,0.75,0.746031746031746
UCI-489,4,PCA4 Grassmann only,0.5625,0.5151515151515151
UCI-489,4,PCA4 early w=0.3,0.75,0.746031746031746
UCI-489,4,PCA4 early w=0.5,0.75,0.746031746031746
UCI-489,4,PCA4 late lam=0.3,0.6875,0.6862745098039216
UCI-489,4,PCA4 late lam=0.5,0.625,0.6190476190476191
UCI-489,4,PCA8 Grassmann only,0.5625,0.5607843137254902
UCI-489,4,PCA8 early w=0.3,0.875,0.873015873015873
UCI-489,4,PCA8 early w=0.5,0.875,0.873015873015873
UCI-489,4,PCA8 late lam=0.3,0.8125,0.8117647058823529
UCI-489,4,PCA8 late lam=0.5,0.8125,0.8117647058823529
UCI-489,4,PCA16 Grassmann only,0.625,0.6000000000000001
UCI-489,4,PCA16 early w=0.3,0.8125,0.805668016194332
UCI-489,4,PCA16 early w=0.5,0.8125,0.805668016194332
UCI-489,4,PCA16 late lam=0.3,0.8125,0.8117647058823529
UCI-489,4,PCA16 late lam=0.5,0.75,0.75
UCI-489,4,PCA32 Grassmann only,0.625,0.5636363636363637
UCI-489,4,PCA32 early w=0.3,0.8125,0.805668016194332
UCI-489,4,PCA32 early w=0.5,0.8125,0.805668016194332
UCI-489,4,PCA32 late lam=0.3,0.8125,0.8117647058823529
UCI-489,4,PCA32 late lam=0.5,0.8125,0.8117647058823529
UCI-489,5,early w=0.5 (paper),0.75,0.746031746031746
UCI-489,5,Euclidean RBF w=0,0.75,0.746031746031746
UCI-489,5,early w=0.5 C=0.3,0.75,0.746031746031746
UCI-489,5,Euclidean RBF C=0.3,0.75,0.746031746031746
UCI-489,5,early w=0.5 C=3,0.75,0.746031746031746
UCI-489,5,Euclidean RBF C=3,0.75,0.746031746031746
UCI-489,5,early w=0.5 C=10,0.75,0.746031746031746
UCI-489,5,Euclidean RBF C=10,0.75,0.746031746031746
UCI-489,5,late lam=0.2,0.75,0.746031746031746
UCI-489,5,late lam=0.3,0.8125,0.8117647058823529
UCI-489,5,late lam=0.5,0.8125,0.8117647058823529
UCI-489,5,rank-1 Grassmann only,0.6875,0.6536796536796536
UCI-489,5,rank-1 early w=0.5,0.8125,0.8117647058823529
UCI-489,5,rank-1 early w=0.3,0.8125,0.8117647058823529
UCI-489,5,rank-1 late lam=0.3,0.6875,0.6761133603238867
UCI-489,5,PCA4 Grassmann only,0.625,0.6000000000000001
UCI-489,5,PCA4 early w=0.3,0.8125,0.8117647058823529
UCI-489,5,PCA4 early w=0.5,0.8125,0.8117647058823529
UCI-489,5,PCA4 late lam=0.3,0.8125,0.8117647058823529
UCI-489,5,PCA4 late lam=0.5,0.8125,0.8117647058823529
UCI-489,5,PCA8 Grassmann only,0.5,0.4920634920634921
UCI-489,5,PCA8 early w=0.3,0.75,0.746031746031746
UCI-489,5,PCA8 early w=0.5,0.6875,0.6761133603238867
UCI-489,5,PCA8 late lam=0.3,0.75,0.746031746031746
UCI-489,5,PCA8 late lam=0.5,0.75,0.746031746031746
UCI-489,5,PCA16 Grassmann only,0.6875,0.6862745098039216
UCI-489,5,PCA16 early w=0.3,0.75,0.746031746031746
UCI-489,5,PCA16 early w=0.5,0.75,0.746031746031746
UCI-489,5,PCA16 late lam=0.3,0.75,0.746031746031746
UCI-489,5,PCA16 late lam=0.5,0.75,0.746031746031746
UCI-489,5,PCA32 Grassmann only,0.625,0.6000000000000001
UCI-489,5,PCA32 early w=0.3,0.75,0.746031746031746
UCI-489,5,PCA32 early w=0.5,0.75,0.746031746031746
UCI-489,5,PCA32 late lam=0.3,0.8125,0.8117647058823529
UCI-489,5,PCA32 late lam=0.5,0.8125,0.8117647058823529
PD-252,1,early w=0.5 (paper),0.6912955465587045,0.7102272727272727
PD-252,1,Euclidean RBF w=0,0.7419028340080972,0.7419028340080972
PD-252,1,early w=0.5 C=0.3,0.6518218623481782,0.6555844155844156
PD-252,1,Euclidean RBF C=0.3,0.638663967611336,0.6386639676113359
PD-252,1,early w=0.5 C=3,0.6791497975708503,0.7089410272669625
PD-252,1,Euclidean RBF C=3,0.7813765182186234,0.8035222894881673
PD-252,1,early w=0.5 C=10,0.6923076923076923,0.7301587301587301
PD-252,1,Euclidean RBF C=10,0.7297570850202428,0.7473858007705008
PD-252,1,late lam=0.2,0.6912955465587045,0.7102272727272727
PD-252,1,late lam=0.3,0.6912955465587045,0.7102272727272727
PD-252,1,late lam=0.5,0.7044534412955465,0.7301587301587301
PD-252,1,rank-1 Grassmann only,0.6659919028340081,0.6890243902439024
PD-252,1,rank-1 early w=0.5,0.6912955465587045,0.7102272727272727
PD-252,1,rank-1 early w=0.3,0.6912955465587045,0.7102272727272727
PD-252,1,rank-1 late lam=0.3,0.652834008097166,0.6701940035273368
PD-252,1,PCA4 Grassmann only,0.548582995951417,0.5496103896103897
PD-252,1,PCA4 early w=0.3,0.6902834008097165,0.6902834008097165
PD-252,1,PCA4 early w=0.5,0.728744939271255,0.722962962962963
PD-252,1,PCA4 late lam=0.3,0.6781376518218624,0.6912493120528342
PD-252,1,PCA4 late lam=0.5,0.6649797570850202,0.673076923076923
PD-252,1,PCA8 Grassmann only,0.6376518218623481,0.6222222222222222
PD-252,1,PCA8 early w=0.3,0.7550607287449393,0.7615584415584415
PD-252,1,PCA8 early w=0.5,0.7419028340080972,0.7419028340080972
PD-252,1,PCA8 late lam=0.3,0.7550607287449393,0.7615584415584415
PD-252,1,PCA8 late lam=0.5,0.7419028340080972,0.7419028340080972
PD-252,1,PCA16 Grassmann only,0.7044534412955465,0.7301587301587301
PD-252,1,PCA16 early w=0.3,0.6649797570850202,0.673076923076923
PD-252,1,PCA16 early w=0.5,0.6396761133603239,0.6522727272727273
PD-252,1,PCA16 late lam=0.3,0.6133603238866396,0.6185897435897436
PD-252,1,PCA16 late lam=0.5,0.652834008097166,0.6701940035273368
PD-252,1,PCA32 Grassmann only,0.6912955465587045,0.7102272727272727
PD-252,1,PCA32 early w=0.3,0.6649797570850202,0.673076923076923
PD-252,1,PCA32 early w=0.5,0.6912955465587045,0.7102272727272727
PD-252,1,PCA32 late lam=0.3,0.6649797570850202,0.673076923076923
PD-252,1,PCA32 late lam=0.5,0.6912955465587045,0.7102272727272727
PD-252,1,block-balanced Grassmann only,0.5890688259109311,0.5952380952380952
PD-252,1,block-balanced early w=0.5,0.6912955465587045,0.7102272727272727
PD-252,1,block-balanced early w=0.3,0.6649797570850202,0.673076923076923
PD-252,1,block-balanced late lam=0.3,0.652834008097166,0.6701940035273368
PD-252,2,early w=0.5 (paper),0.6781376518218624,0.6912493120528342
PD-252,2,Euclidean RBF w=0,0.6902834008097165,0.6902834008097165
PD-252,2,early w=0.5 C=0.3,0.7419028340080972,0.7419028340080972
PD-252,2,Euclidean RBF C=0.3,0.7419028340080972,0.7419028340080972
PD-252,2,early w=0.5 C=3,0.6791497975708503,0.7089410272669625
PD-252,2,Euclidean RBF C=3,0.6649797570850202,0.673076923076923
PD-252,2,early w=0.5 C=10,0.6791497975708503,0.7089410272669625
PD-252,2,Euclidean RBF C=10,0.6912955465587045,0.7102272727272727
PD-252,2,late lam=0.2,0.6912955465587045,0.7102272727272727
PD-252,2,late lam=0.3,0.6912955465587045,0.7102272727272727
PD-252,2,late lam=0.5,0.6791497975708503,0.7089410272669625
PD-252,2,rank-1 Grassmann only,0.7044534412955465,0.7301587301587301
PD-252,2,rank-1 early w=0.5,0.7165991902834008,0.7275641025641026
PD-252,2,rank-1 early w=0.3,0.6912955465587045,0.7102272727272727
PD-252,2,rank-1 late lam=0.3,0.6912955465587045,0.7102272727272727
PD-252,2,PCA4 Grassmann only,0.5091093117408907,0.5077220077220078
PD-252,2,PCA4 early w=0.3,0.6649797570850202,0.673076923076923
PD-252,2,PCA4 early w=0.5,0.6902834008097165,0.6902834008097165
PD-252,2,PCA4 late lam=0.3,0.6518218623481782,0.6555844155844156
PD-252,2,PCA4 late lam=0.5,0.638663967611336,0.6386639676113359
PD-252,2,PCA8 Grassmann only,0.5738866396761134,0.5718518518518519
PD-252,2,PCA8 early w=0.3,0.6781376518218624,0.6912493120528342
PD-252,2,PCA8 early w=0.5,0.6781376518218624,0.6912493120528342
PD-252,2,PCA8 late lam=0.3,0.7165991902834008,0.7275641025641026
PD-252,2,PCA8 late lam=0.5,0.6649797570850202,0.673076923076923
PD-252,2,PCA16 Grassmann only,0.7672064777327935,0.7538610038610039
PD-252,2,PCA16 early w=0.3,0.6781376518218624,0.6912493120528342
PD-252,2,PCA16 early w=0.5,0.6912955465587045,0.7102272727272727
PD-252,2,PCA16 late lam=0.3,0.6912955465587045,0.7102272727272727
PD-252,2,PCA16 late lam=0.5,0.6912955465587045,0.7102272727272727
PD-252,2,PCA32 Grassmann only,0.7297570850202428,0.7473858007705008
PD-252,2,PCA32 early w=0.3,0.6912955465587045,0.7102272727272727
PD-252,2,PCA32 early w=0.5,0.652834008097166,0.6701940035273368
PD-252,2,PCA32 late lam=0.3,0.7297570850202428,0.7473858007705008
PD-252,2,PCA32 late lam=0.5,0.742914979757085,0.7681818181818182
PD-252,2,block-balanced Grassmann only,0.5637651821862348,0.5552325581395349
PD-252,2,block-balanced early w=0.5,0.7550607287449393,0.7615584415584415
PD-252,2,block-balanced early w=0.3,0.6649797570850202,0.673076923076923
PD-252,2,block-balanced late lam=0.3,0.652834008097166,0.6701940035273368
PD-252,3,early w=0.5 (paper),0.7105263157894737,0.72875226039783
PD-252,3,Euclidean RBF w=0,0.7258771929824561,0.7258771929824561
PD-252,3,early w=0.5 C=0.3,0.6995614035087719,0.688149688149688
PD-252,3,Euclidean RBF C=0.3,0.6732456140350878,0.6527777777777777
PD-252,3,early w=0.5 C=3,0.7236842105263157,0.75
PD-252,3,Euclidean RBF C=3,0.7521929824561404,0.766899766899767
PD-252,3,early w=0.5 C=10,0.736842105263158,0.7725795971410007
PD-252,3,Euclidean RBF C=10,0.7236842105263157,0.75
PD-252,3,late lam=0.2,0.7521929824561404,0.766899766899767
PD-252,3,late lam=0.3,0.7105263157894737,0.72875226039783
PD-252,3,late lam=0.5,0.7105263157894737,0.72875226039783
PD-252,3,rank-1 Grassmann only,0.5986842105263157,0.6102055279943303
PD-252,3,rank-1 early w=0.5,0.6973684210526316,0.7086247086247086
PD-252,3,rank-1 early w=0.3,0.7390350877192983,0.745906267645398
PD-252,3,rank-1 late lam=0.3,0.7105263157894737,0.72875226039783
PD-252,3,PCA4 Grassmann only,0.4736842105263158,0.43253467843631777
PD-252,3,PCA4 early w=0.3,0.7675438596491229,0.76
PD-252,3,PCA4 early w=0.5,0.7017543859649122,0.6666666666666666
PD-252,3,PCA4 late lam=0.3,0.6578947368421053,0.6533333333333333
PD-252,3,PCA4 late lam=0.5,0.6052631578947368,0.587178241864983
PD-252,3,PCA8 Grassmann only,0.6052631578947368,0.587178241864983
PD-252,3,PCA8 early w=0.3,0.7105263157894737,0.72875226039783
PD-252,3,PCA8 early w=0.5,0.6842105263157895,0.68944099378882
PD-252,3,PCA8 late lam=0.3,0.7258771929824561,0.7258771929824561
PD-252,3,PCA8 late lam=0.5,0.6995614035087719,0.688149688149688
PD-252,3,PCA16 Grassmann only,0.6995614035087719,0.688149688149688
PD-252,3,PCA16 early w=0.3,0.7105263157894737,0.72875226039783
PD-252,3,PCA16 early w=0.5,0.7105263157894737,0.72875226039783
PD-252,3,PCA16 late lam=0.3,0.7807017543859649,0.7807017543859649
PD-252,3,PCA16 late lam=0.5,0.7938596491228069,0.8023715415019763
PD-252,3,PCA32 Grassmann only,0.6557017543859649,0.6684749849306811
PD-252,3,PCA32 early w=0.3,0.7521929824561404,0.766899766899767
PD-252,3,PCA32 early w=0.5,0.7105263157894737,0.72875226039783
PD-252,3,PCA32 late lam=0.3,0.7521929824561404,0.766899766899767
PD-252,3,PCA32 late lam=0.5,0.7521929824561404,0.766899766899767
PD-252,3,block-balanced Grassmann only,0.6271929824561403,0.6426250812215724
PD-252,3,block-balanced early w=0.5,0.6842105263157895,0.68944099378882
PD-252,3,block-balanced early w=0.3,0.7127192982456141,0.7066666666666667
PD-252,3,block-balanced late lam=0.3,0.7390350877192983,0.745906267645398
PD-252,4,early w=0.5 (paper),0.8575883575883576,0.8666666666666667
PD-252,4,Euclidean RBF w=0,0.817047817047817,0.8015873015873016
PD-252,4,early w=0.5 C=0.3,0.8555093555093556,0.8300145701796988
PD-252,4,Euclidean RBF C=0.3,0.8284823284823285,0.7896213183730716
PD-252,4,early w=0.5 C=3,0.8326403326403327,0.8588368153585544
PD-252,4,Euclidean RBF C=3,0.6881496881496881,0.6881496881496881
PD-252,4,early w=0.5 C=10,0.8326403326403327,0.8588368153585544
PD-252,4,Euclidean RBF C=10,0.7401247401247402,0.7401247401247402
PD-252,4,late lam=0.2,0.8440748440748441,0.8440748440748441
PD-252,4,late lam=0.3,0.8056133056133057,0.8133333333333332
PD-252,4,late lam=0.5,0.7557172557172558,0.789029535864979
PD-252,4,rank-1 Grassmann only,0.7806652806652807,0.8023715415019763
PD-252,4,rank-1 early w=0.5,0.8711018711018712,0.8903508771929824
PD-252,4,rank-1 early w=0.3,0.8305613305613306,0.8224251648909183
PD-252,4,rank-1 late lam=0.3,0.8056133056133057,0.8133333333333332
PD-252,4,PCA4 Grassmann only,0.43347193347193347,0.4005787515502274
PD-252,4,PCA4 early w=0.3,0.7245322245322245,0.6961196820944366
PD-252,4,PCA4 early w=0.5,0.659043659043659,0.6323529411764706
PD-252,4,PCA4 late lam=0.3,0.7494802494802495,0.7060153776571687
PD-252,4,PCA4 late lam=0.5,0.5935550935550935,0.5703301673450927
PD-252,4,PCA8 Grassmann only,0.7629937629937631,0.724264705882353
PD-252,4,PCA8 early w=0.3,0.8555093555093556,0.8300145701796988
PD-252,4,PCA8 early w=0.5,0.841995841995842,0.8095238095238095
PD-252,4,PCA8 late lam=0.3,0.817047817047817,0.8015873015873016
PD-252,4,PCA8 late lam=0.5,0.841995841995842,0.8095238095238095
PD-252,4,PCA16 Grassmann only,0.8669438669438669,0.8161764705882353
PD-252,4,PCA16 early w=0.3,0.869022869022869,0.8511904761904762
PD-252,4,PCA16 early w=0.5,0.8804573804573805,0.836372136512389
PD-252,4,PCA16 late lam=0.3,0.9074844074844075,0.878581835842642
PD-252,4,PCA16 late lam=0.5,0.8804573804573805,0.836372136512389
PD-252,4,PCA32 Grassmann only,0.8305613305613306,0.8224251648909183
PD-252,4,PCA32 early w=0.3,0.817047817047817,0.8015873015873016
PD-252,4,PCA32 early w=0.5,0.893970893970894,0.8571428571428572
PD-252,4,PCA32 late lam=0.3,0.817047817047817,0.8015873015873016
PD-252,4,PCA32 late lam=0.5,0.8555093555093556,0.8300145701796988
PD-252,4,block-balanced Grassmann only,0.8076923076923077,0.8493068113321278
PD-252,4,block-balanced early w=0.5,0.8825363825363826,0.8731608320649416
PD-252,4,block-balanced early w=0.3,0.817047817047817,0.8015873015873016
PD-252,4,block-balanced late lam=0.3,0.8056133056133057,0.8133333333333332
PD-252,5,early w=0.5 (paper),0.7172557172557172,0.75
PD-252,5,Euclidean RBF w=0,0.7422037422037422,0.7668997668997669
PD-252,5,early w=0.5 C=0.3,0.7671517671517671,0.7807017543859649
PD-252,5,Euclidean RBF C=0.3,0.7536382536382537,0.76
PD-252,5,early w=0.5 C=3,0.7692307692307692,0.8125
PD-252,5,Euclidean RBF C=3,0.7557172557172558,0.789029535864979
PD-252,5,early w=0.5 C=10,0.7692307692307692,0.8125
PD-252,5,Euclidean RBF C=10,0.7557172557172558,0.789029535864979
PD-252,5,late lam=0.2,0.7557172557172558,0.789029535864979
PD-252,5,late lam=0.3,0.7307692307692308,0.7725795971410007
PD-252,5,late lam=0.5,0.6923076923076923,0.7289972899728998
PD-252,5,rank-1 Grassmann only,0.6153846153846154,0.6279761904761905
PD-252,5,rank-1 early w=0.5,0.7307692307692308,0.7725795971410007
PD-252,5,rank-1 early w=0.3,0.7557172557172558,0.789029535864979
PD-252,5,rank-1 late lam=0.3,0.7307692307692308,0.7725795971410007
PD-252,5,PCA4 Grassmann only,0.46465696465696466,0.4623655913978495
PD-252,5,PCA4 early w=0.3,0.7266112266112266,0.7209538305428718
PD-252,5,PCA4 early w=0.5,0.6476091476091477,0.6357455075279261
PD-252,5,PCA4 late lam=0.3,0.6746361746361746,0.6702181633688484
PD-252,5,PCA4 late lam=0.5,0.5841995841995842,0.5841995841995842
PD-252,5,PCA8 Grassmann only,0.5727650727650728,0.5765104460756634
PD-252,5,PCA8 early w=0.3,0.6787941787941788,0.7076023391812867
PD-252,5,PCA8 early w=0.5,0.6652806652806653,0.6875
PD-252,5,PCA8 late lam=0.3,0.6517671517671518,0.6684749849306811
PD-252,5,PCA8 late lam=0.5,0.6767151767151767,0.6894409937888198
PD-252,5,PCA16 Grassmann only,0.6247401247401247,0.6329757199322417
PD-252,5,PCA16 early w=0.3,0.7422037422037422,0.7668997668997669
PD-252,5,PCA16 early w=0.5,0.7422037422037422,0.7668997668997669
PD-252,5,PCA16 late lam=0.3,0.7422037422037422,0.7668997668997669
PD-252,5,PCA16 late lam=0.5,0.7037422037422038,0.72875226039783
PD-252,5,PCA32 Grassmann only,0.5883575883575883,0.5934959349593496
PD-252,5,PCA32 early w=0.3,0.7557172557172558,0.789029535864979
PD-252,5,PCA32 early w=0.5,0.7172557172557172,0.75
PD-252,5,PCA32 late lam=0.3,0.7557172557172558,0.789029535864979
PD-252,5,PCA32 late lam=0.5,0.7172557172557172,0.75
PD-252,5,block-balanced Grassmann only,0.5384615384615384,0.5016611295681063
PD-252,5,block-balanced early w=0.5,0.7286902286902287,0.745906267645398
PD-252,5,block-balanced early w=0.3,0.7286902286902287,0.745906267645398
PD-252,5,block-balanced late lam=0.3,0.7037422037422038,0.72875226039783
