cohort,fold,method,ba,f1
PD-252,1,A3 no-aug floor=0.25 [BA-thr],0.688259109311741,0.6470588235294119
PD-252,2,RBF no-aug,0.7550607287449393,0.7615584415584415
PD-252,2,A3 no-aug floor=0.00,0.7672064777327935,0.7538610038610039
PD-252,2,A3 no-aug floor=0.25,0.7672064777327935,0.7538610038610039
PD-252,2,A3 no-aug floor=0.50,0.7408906882591093,0.7166666666666666
PD-252,2,perm kernel no-aug,0.7419028340080972,0.7419028340080972
PD-252,2,A3+perm no-aug,0.7672064777327935,0.7538610038610039
PD-252,2,rel-weighted RBF rho=1 eta=0,0.7419028340080972,0.7419028340080972
PD-252,2,rel-weighted RBF rho=0 eta=1,0.7419028340080972,0.7419028340080972
PD-252,2,rel-weighted RBF rho=1 eta=1,0.7419028340080972,0.7419028340080972
PD-252,2,rel-weighted RBF rho=0.5 eta=0.5,0.7419028340080972,0.7419028340080972
PD-252,2,PLS4 + LDA,0.7297570850202428,0.7473858007705008
PD-252,2,PLS8 + LDA,0.6123481781376519,0.6061776061776062
PD-252,2,PLS16 + LDA,0.6508097165991903,0.6386395843174304
PD-252,2,RBF subagging16,0.7661943319838057,0.7267857142857144
PD-252,2,A3 subagging16,0.7277327935222673,0.6987732848705135
PD-252,2,RBF no-aug [BA-thr],0.7297570850202428,0.7473858007705008
PD-252,2,A3 no-aug floor=0.25 [BA-thr],0.7672064777327935,0.7538610038610039
PD-252,3,RBF no-aug,0.6622807017543859,0.6155585707824515
PD-252,3,A3 no-aug floor=0.00,0.756578947368421,0.7142857142857143
PD-252,3,A3 no-aug floor=0.25,0.743421052631579,0.6961196820944366
PD-252,3,A3 no-aug floor=0.50,0.743421052631579,0.6961196820944366
PD-252,3,perm kernel no-aug,0.7149122807017544,0.6843127731908694
PD-252,3,A3+perm no-aug,0.756578947368421,0.7142857142857143
PD-252,3,rel-weighted RBF rho=1 eta=0,0.6622807017543859,0.6155585707824515
PD-252,3,rel-weighted RBF rho=0 eta=1,0.7017543859649122,0.6666666666666666
PD-252,3,rel-weighted RBF rho=1 eta=1,0.7149122807017544,0.6843127731908694
PD-252,3,rel-weighted RBF rho=0.5 eta=0.5,0.6754385964912281,0.6323529411764707
PD-252,3,PLS4 + LDA,0.7807017543859649,0.7807017543859649
PD-252,3,PLS8 + LDA,0.7521929824561404,0.766899766899767
PD-252,3,PLS16 + LDA,0.7127192982456141,0.7066666666666667
PD-252,3,RBF subagging16,0.6359649122807017,0.5824175824175823
PD-252,3,A3 subagging16,0.6907894736842105,0.6263736263736264
PD-252,3,RBF no-aug [BA-thr],0.7390350877192983,0.745906267645398
PD-252,3,A3 no-aug floor=0.25 [BA-thr],0.7390350877192983,0.745906267645398
PD-252,4,RBF no-aug,0.814968814968815,0.770220588235294
PD-252,4,A3 no-aug floor=0.00,0.8534303534303534,0.7964721845318861
PD-252,4,A3 no-aug floor=0.25,0.83991683991684,0.7771836007130125
PD-252,4,A3 no-aug floor=0.50,0.812889812889813,0.7395833333333334
PD-252,4,perm kernel no-aug,0.7515592515592515,0.7328800388538126
PD-252,4,A3+perm no-aug,0.8534303534303534,0.7964721845318861
PD-252,4,rel-weighted RBF rho=1 eta=0,0.8014553014553014,0.7512437810945274
PD-252,4,rel-weighted RBF rho=0 eta=1,0.83991683991684,0.7771836007130125
PD-252,4,rel-weighted RBF rho=1 eta=1,0.83991683991684,0.7771836007130125
PD-252,4,rel-weighted RBF rho=0.5 eta=0.5,0.83991683991684,0.7771836007130125
PD-252,4,PLS4 + LDA,0.9345114345114345,0.9238964992389651
PD-252,4,PLS8 + LDA,0.8305613305613306,0.8224251648909183
PD-252,4,PLS16 + LDA,0.8305613305613306,0.8224251648909183
PD-252,4,RBF subagging16,0.7993762993762994,0.7211497211497212
PD-252,4,A3 subagging16,0.8378378378378378,0.7453310696095077
PD-252,4,RBF no-aug [BA-thr],0.8284823284823285,0.7896213183730716
PD-252,4,A3 no-aug floor=0.25 [BA-thr],0.7993762993762994,0.7211497211497212
PD-252,5,RBF no-aug,0.6995841995841996,0.6843127731908694
PD-252,5,A3 no-aug floor=0.00,0.7245322245322245,0.6961196820944366
PD-252,5,A3 no-aug floor=0.25,0.738045738045738,0.7142857142857142
PD-252,5,A3 no-aug floor=0.50,0.738045738045738,0.7142857142857142
PD-252,5,perm kernel no-aug,0.7151767151767152,0.7258771929824561
PD-252,5,A3+perm no-aug,0.7245322245322245,0.6961196820944366
PD-252,5,rel-weighted RBF rho=1 eta=0,0.6995841995841996,0.6843127731908694
PD-252,5,rel-weighted RBF rho=0 eta=1,0.6995841995841996,0.6843127731908694
PD-252,5,rel-weighted RBF rho=1 eta=1,0.6995841995841996,0.6843127731908694
PD-252,5,rel-weighted RBF rho=0.5 eta=0.5,0.6995841995841996,0.6843127731908694
PD-252,5,PLS4 + LDA,0.7806652806652807,0.8023715415019763
PD-252,5,PLS8 + LDA,0.7806652806652807,0.8023715415019763
PD-252,5,PLS16 + LDA,0.7172557172557172,0.75
PD-252,5,RBF subagging16,0.659043659043659,0.6323529411764706
PD-252,5,A3 subagging16,0.683991683991684,0.64349376114082
PD-252,5,RBF no-aug [BA-thr],0.7130977130977132,0.7023809523809524
PD-252,5,A3 no-aug floor=0.25 [BA-thr],0.7671517671517671,0.7807017543859649
