cohort,fold,method,ba,f1,note
PD-252,1,HGB (mean+std),0.6659919028340081,0.6890243902439024,
PD-252,1,RF (mean+std),0.6923076923076923,0.7301587301587301,
PD-252,1,ET (mean+std),0.6923076923076923,0.7301587301587301,
PD-252,1,HGB (order-stat),0.6659919028340081,0.6890243902439024,
PD-252,1,top-25 feats RBF,0.7520242914979758,0.6819126819126818,
PD-252,1,top-50 feats RBF,0.7408906882591093,0.7166666666666666,
PD-252,1,top-100 feats RBF,0.715587044534413,0.7046332046332047,
PD-252,1,top-200 feats RBF,0.728744939271255,0.722962962962963,
PD-252,2,paper fused w=0.5,0.6781376518218624,0.6912493120528342,
PD-252,2,Euclidean RBF (mean+std),0.6902834008097165,0.6902834008097165,
PD-252,2,order-stat RBF,0.6902834008097165,0.6902834008097165,
PD-252,2,order-stat + Grassmann w=0.3,0.6781376518218624,0.6912493120528342,
PD-252,2,order-stat + mean/std RBF (avg),0.6902834008097165,0.6902834008097165,
PD-252,2,mean-embedding linear kernel,0.7024291497975709,0.6868209730751063,
PD-252,2,MMD Gaussian kernel,0.715587044534413,0.7046332046332047,
PD-252,2,MMD + mean/std RBF (avg),0.728744939271255,0.722962962962963,
PD-252,2,MMD + Grassmann + mean/std (1/3 each),0.7034412955465588,0.7085714285714286,
PD-252,2,family MKL (ALIGNF),0.7034412955465588,0.7085714285714286,
PD-252,2,family MKL + Grassmann w=0.3,0.7034412955465588,0.7085714285714286,
PD-252,2,family uniform MKL,0.714574898785425,0.6812499999999999,
PD-252,2,__beta__,,,"{'Demographics': 0.025, 'IMF/EMD': 0.0, 'MFCC': 0.585, 'TQWT': 0.3, 'Vocal/time-frequency': 0.0, 'Wavelet': 0.09}"
PD-252,2,record-level RBF SVM -> mean,0.728744939271255,0.722962962962963,
PD-252,2,stack: fused + record-level (avg),0.7419028340080972,0.7419028340080972,
PD-252,2,HGB (mean+std),0.6912955465587045,0.7102272727272727,
PD-252,2,RF (mean+std),0.6406882591093117,0.6626984126984127,
PD-252,2,ET (mean+std),0.6406882591093117,0.6626984126984127,
PD-252,2,HGB (order-stat),0.7560728744939271,0.7901234567901235,
PD-252,2,top-25 feats RBF,0.7419028340080972,0.7419028340080972,
PD-252,2,top-50 feats RBF,0.8066801619433198,0.8145454545454545,
PD-252,2,top-100 feats RBF,0.8056680161943319,0.7831837505904582,
PD-252,2,top-200 feats RBF,0.728744939271255,0.722962962962963,
PD-252,3,paper fused w=0.5,0.7105263157894737,0.72875226039783,
PD-252,3,Euclidean RBF (mean+std),0.7258771929824561,0.7258771929824561,
PD-252,3,order-stat RBF,0.7390350877192983,0.745906267645398,
PD-252,3,order-stat + Grassmann w=0.3,0.7521929824561404,0.766899766899767,
PD-252,3,order-stat + mean/std RBF (avg),0.7390350877192983,0.745906267645398,
PD-252,3,mean-embedding linear kernel,0.6864035087719298,0.6702181633688484,
PD-252,3,MMD Gaussian kernel,0.7521929824561404,0.766899766899767,
PD-252,3,MMD + mean/std RBF (avg),0.7390350877192983,0.745906267645398,
PD-252,3,MMD + Grassmann + mean/std (1/3 each),0.7521929824561404,0.766899766899767,
PD-252,3,family MKL (ALIGNF),0.7960526315789473,0.7716894977168949,
PD-252,3,family MKL + Grassmann w=0.3,0.7675438596491229,0.76,
PD-252,3,family uniform MKL,0.7258771929824561,0.7258771929824561,
PD-252,3,__beta__,,,"{'Demographics': 0.018, 'IMF/EMD': 0.025, 'MFCC': 0.46, 'TQWT': 0.337, 'Vocal/time-frequency': 0.095, 'Wavelet': 0.066}"
PD-252,3,record-level RBF SVM -> mean,0.7280701754385965,0.7023809523809523,
PD-252,3,stack: fused + record-level (avg),0.7675438596491229,0.76,
PD-252,3,HGB (mean+std),0.6425438596491229,0.6503496503496503,
PD-252,3,RF (mean+std),0.5986842105263157,0.6102055279943303,
PD-252,3,ET (mean+std),0.5986842105263157,0.6102055279943303,
PD-252,3,HGB (order-stat),0.736842105263158,0.7725795971410007,
PD-252,3,top-25 feats RBF,0.6622807017543859,0.6155585707824515,
PD-252,3,top-50 feats RBF,0.7017543859649122,0.6666666666666666,
PD-252,3,top-100 feats RBF,0.6885964912280702,0.6493688639551193,
PD-252,3,top-200 feats RBF,0.7149122807017544,0.6843127731908694,
PD-252,4,paper fused w=0.5,0.8575883575883576,0.8666666666666667,
PD-252,4,Euclidean RBF (mean+std),0.817047817047817,0.8015873015873016,
PD-252,4,order-stat RBF,0.817047817047817,0.8015873015873016,
PD-252,4,order-stat + Grassmann w=0.3,0.8305613305613306,0.8224251648909183,
PD-252,4,order-stat + mean/std RBF (avg),0.817047817047817,0.8015873015873016,
PD-252,4,mean-embedding linear kernel,0.8804573804573805,0.836372136512389,
PD-252,4,MMD Gaussian kernel,0.8555093555093556,0.8300145701796988,
PD-252,4,MMD + mean/std RBF (avg),0.841995841995842,0.8095238095238095,
PD-252,4,MMD + Grassmann + mean/std (1/3 each),0.869022869022869,0.8511904761904762,
PD-252,4,family MKL (ALIGNF),0.893970893970894,0.8571428571428572,
PD-252,4,family MKL + Grassmann w=0.3,0.9074844074844075,0.878581835842642,
PD-252,4,family uniform MKL,0.8284823284823285,0.7896213183730716,
PD-252,4,__beta__,,,"{'Demographics': 0.0, 'IMF/EMD': 0.025, 'MFCC': 0.574, 'TQWT': 0.234, 'Vocal/time-frequency': 0.154, 'Wavelet': 0.013}"
PD-252,4,record-level RBF SVM -> mean,0.8669438669438669,0.8161764705882353,
PD-252,4,stack: fused + record-level (avg),0.9074844074844075,0.878581835842642,
PD-252,4,HGB (mean+std),0.8440748440748441,0.8440748440748441,
PD-252,4,RF (mean+std),0.8846153846153846,0.9153020892151327,
PD-252,4,ET (mean+std),0.8076923076923077,0.8493068113321278,
PD-252,4,HGB (order-stat),0.8440748440748441,0.8440748440748441,
PD-252,4,top-25 feats RBF,0.7837837837837838,0.6715927750410509,
PD-252,4,top-50 feats RBF,0.8243243243243243,0.7267759562841529,
PD-252,4,top-100 feats RBF,0.812889812889813,0.7395833333333334,
PD-252,4,top-200 feats RBF,0.8014553014553014,0.7512437810945274,
PD-252,5,paper fused w=0.5,0.7172557172557172,0.75,
PD-252,5,Euclidean RBF (mean+std),0.7422037422037422,0.7668997668997669,
PD-252,5,order-stat RBF,0.7422037422037422,0.7668997668997669,
PD-252,5,order-stat + Grassmann w=0.3,0.7422037422037422,0.7668997668997669,
PD-252,5,order-stat + mean/std RBF (avg),0.7422037422037422,0.7668997668997669,
PD-252,5,mean-embedding linear kernel,0.7671517671517671,0.7807017543859649,
PD-252,5,MMD Gaussian kernel,0.7941787941787942,0.8251748251748252,
PD-252,5,MMD + mean/std RBF (avg),0.7422037422037422,0.7668997668997669,
PD-252,5,MMD + Grassmann + mean/std (1/3 each),0.7557172557172558,0.789029535864979,
PD-252,5,family MKL (ALIGNF),0.7806652806652807,0.8023715415019763,
PD-252,5,family MKL + Grassmann w=0.3,0.7557172557172558,0.789029535864979,
PD-252,5,family uniform MKL,0.7671517671517671,0.7807017543859649,
PD-252,5,__beta__,,,"{'Demographics': 0.0, 'IMF/EMD': 0.04, 'MFCC': 0.431, 'TQWT': 0.467, 'Vocal/time-frequency': 0.017, 'Wavelet': 0.045}"
PD-252,5,record-level RBF SVM -> mean,0.7650727650727651,0.751984126984127,
PD-252,5,stack: fused + record-level (avg),0.7671517671517671,0.7807017543859649,
PD-252,5,HGB (mean+std),0.6517671517671518,0.6684749849306811,
PD-252,5,RF (mean+std),0.6403326403326404,0.6612466124661247,
PD-252,5,ET (mean+std),0.6538461538461539,0.6810772501771793,
PD-252,5,HGB (order-stat),0.6632016632016633,0.6710526315789473,
PD-252,5,top-25 feats RBF,0.6226611226611227,0.619482496194825,
PD-252,5,top-50 feats RBF,0.7016632016632016,0.7066666666666667,
PD-252,5,top-100 feats RBF,0.7016632016632016,0.7066666666666667,
PD-252,5,top-200 feats RBF,0.7286902286902287,0.745906267645398,
