cohort,prep,fold,method,ba,f1
PD-252,standard,5,A3 families+G+MMD [BA-thr],0.7650727650727651,0.751984126984127
PD-252,standard,5,A3 + record stack [BA-thr],0.7650727650727651,0.751984126984127
PD-252,quantile,1,RBF (mean+std),0.7419028340080972,0.7419028340080972
PD-252,quantile,1,paper fused w=0.5,0.7550607287449393,0.7615584415584415
PD-252,quantile,1,record-level -> mean,0.7419028340080972,0.7419028340080972
PD-252,quantile,1,A1 families,0.728744939271255,0.722962962962963
PD-252,quantile,1,A2 families+G,0.728744939271255,0.722962962962963
PD-252,quantile,1,A3 families+G+MMD,0.728744939271255,0.722962962962963
PD-252,quantile,1,A4 families+G+MMD+E,0.728744939271255,0.722962962962963
PD-252,quantile,1,A3 + record stack,0.7682186234817814,0.7820512820512822
PD-252,quantile,1,A2 + record stack,0.7682186234817814,0.7820512820512822
PD-252,quantile,1,A3 families+G+MMD [bag8],0.715587044534413,0.7046332046332047
PD-252,quantile,1,A3 + record stack [bag8],0.7419028340080972,0.7419028340080972
PD-252,quantile,1,paper fused w=0.5 [bag8],0.7550607287449393,0.7615584415584415
PD-252,quantile,1,RBF (mean+std) [BA-thr],0.7661943319838057,0.7267857142857144
PD-252,quantile,1,A3 families+G+MMD [BA-thr],0.715587044534413,0.7046332046332047
PD-252,quantile,1,A3 + record stack [BA-thr],0.6761133603238867,0.652430713312131
PD-252,quantile,2,RBF (mean+std),0.7803643724696356,0.7733333333333333
PD-252,quantile,2,paper fused w=0.5,0.7935222672064777,0.7935222672064777
PD-252,quantile,2,record-level -> mean,0.8441295546558705,0.8111111111111111
PD-252,quantile,2,A1 families,0.8319838056680162,0.8237037037037038
PD-252,quantile,2,A2 families+G,0.8319838056680162,0.8237037037037038
PD-252,quantile,2,A3 families+G+MMD,0.8319838056680162,0.8237037037037038
PD-252,quantile,2,A4 families+G+MMD+E,0.8319838056680162,0.8237037037037038
PD-252,quantile,2,A3 + record stack,0.8056680161943319,0.7831837505904582
PD-252,quantile,2,A2 + record stack,0.8056680161943319,0.7831837505904582
PD-252,quantile,2,A3 families+G+MMD [bag8],0.8319838056680162,0.8237037037037038
PD-252,quantile,2,A3 + record stack [bag8],0.8056680161943319,0.7831837505904582
PD-252,quantile,2,paper fused w=0.5 [bag8],0.8066801619433198,0.8145454545454545
PD-252,quantile,2,RBF (mean+std) [BA-thr],0.791497975708502,0.7352941176470589
PD-252,quantile,2,A3 families+G+MMD [BA-thr],0.8188259109311742,0.803088803088803
PD-252,quantile,2,A3 + record stack [BA-thr],0.8056680161943319,0.7831837505904582
PD-252,quantile,3,RBF (mean+std),0.7258771929824561,0.7258771929824561
PD-252,quantile,3,paper fused w=0.5,0.7521929824561404,0.766899766899767
PD-252,quantile,3,record-level -> mean,0.6995614035087719,0.688149688149688
PD-252,quantile,3,A1 families,0.7828947368421053,0.751984126984127
PD-252,quantile,3,A2 families+G,0.7828947368421053,0.751984126984127
PD-252,quantile,3,A3 families+G+MMD,0.7960526315789473,0.7716894977168949
PD-252,quantile,3,A4 families+G+MMD+E,0.7960526315789473,0.7716894977168949
PD-252,quantile,3,A3 + record stack,0.6995614035087719,0.688149688149688
PD-252,quantile,3,A2 + record stack,0.6995614035087719,0.688149688149688
PD-252,quantile,3,A3 families+G+MMD [bag8],0.8092105263157895,0.7920997920997921
PD-252,quantile,3,A3 + record stack [bag8],0.7543859649122806,0.7401247401247402
PD-252,quantile,3,paper fused w=0.5 [bag8],0.6973684210526316,0.7086247086247086
PD-252,quantile,3,RBF (mean+std) [BA-thr],0.6228070175438596,0.5659722222222222
PD-252,quantile,3,A3 families+G+MMD [BA-thr],0.7938596491228069,0.8023715415019763
PD-252,quantile,3,A3 + record stack [BA-thr],0.6995614035087719,0.688149688149688
PD-252,quantile,4,RBF (mean+std),0.893970893970894,0.8571428571428572
PD-252,quantile,4,paper fused w=0.5,0.9074844074844075,0.878581835842642
PD-252,quantile,4,record-level -> mean,0.9074844074844075,0.878581835842642
PD-252,quantile,4,A1 families,0.893970893970894,0.8571428571428572
PD-252,quantile,4,A2 families+G,0.893970893970894,0.8571428571428572
PD-252,quantile,4,A3 families+G+MMD,0.893970893970894,0.8571428571428572
PD-252,quantile,4,A4 families+G+MMD+E,0.893970893970894,0.8571428571428572
PD-252,quantile,4,A3 + record stack,0.893970893970894,0.8571428571428572
PD-252,quantile,4,A2 + record stack,0.893970893970894,0.8571428571428572
PD-252,quantile,4,A3 families+G+MMD [bag8],0.893970893970894,0.8571428571428572
PD-252,quantile,4,A3 + record stack [bag8],0.893970893970894,0.8571428571428572
