cohort,partition_seed,weight,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,11,0.5,Adaptive_Subspace_Fusion,0.8625,0.03061862178478972,0.8579271708683475,0.03354066194148953
UCI-489,11,0.5,Fused_Grassmann_GSMOTE,0.8625,0.03061862178478972,0.8579271708683475,0.03354066194148953
UCI-489,11,0.0,Adaptive_Subspace_Fusion,0.8125,0.02795084971874737,0.8048926237161531,0.03128117947247834
UCI-489,11,0.0,Fused_Grassmann_GSMOTE,0.8125,0.02795084971874737,0.8048926237161531,0.03128117947247834
UCI-489,11,1.0,Adaptive_Subspace_Fusion,0.575,0.049999999999999996,0.5577272727272728,0.047043807612806424
UCI-489,11,1.0,Fused_Grassmann_GSMOTE,0.575,0.049999999999999996,0.5577272727272728,0.047043807612806424
UCI-489,12,0.0,Adaptive_Subspace_Fusion,0.8125,0.02795084971874737,0.8119561157796452,0.027730833465735353
UCI-489,12,0.0,Fused_Grassmann_GSMOTE,0.8125,0.02795084971874737,0.8119561157796452,0.027730833465735353
UCI-489,12,0.5,Adaptive_Subspace_Fusion,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,12,0.5,Fused_Grassmann_GSMOTE,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,13,0.0,Adaptive_Subspace_Fusion,0.875,0.04419417382415922,0.874407096171802,0.044230393580339006
UCI-489,13,0.0,Fused_Grassmann_GSMOTE,0.875,0.04419417382415922,0.874407096171802,0.044230393580339006
UCI-489,12,1.0,Adaptive_Subspace_Fusion,0.6125,0.03061862178478973,0.6044771241830065,0.03160788617898048
UCI-489,12,1.0,Fused_Grassmann_GSMOTE,0.6125,0.03061862178478973,0.6044771241830065,0.03160788617898048
UCI-489,13,0.5,Adaptive_Subspace_Fusion,0.8625,0.045927932677184584,0.8609375248074939,0.04633709808351314
UCI-489,13,0.5,Fused_Grassmann_GSMOTE,0.8625,0.045927932677184584,0.8609375248074939,0.04633709808351314
UCI-489,13,1.0,Adaptive_Subspace_Fusion,0.575,0.06059599821770411,0.5491298106777983,0.06653691073550876
UCI-489,13,1.0,Fused_Grassmann_GSMOTE,0.575,0.06059599821770411,0.5491298106777983,0.06653691073550876
UCI-489,14,0.0,Adaptive_Subspace_Fusion,0.85,0.0318688719599549,0.8485845836310233,0.03226354419995132
UCI-489,14,0.0,Fused_Grassmann_GSMOTE,0.85,0.0318688719599549,0.8485845836310233,0.03226354419995132
UCI-489,14,0.5,Adaptive_Subspace_Fusion,0.8375,0.024999999999999998,0.8369561157796452,0.02489071468356791
UCI-489,14,0.5,Fused_Grassmann_GSMOTE,0.8375,0.024999999999999998,0.8369561157796452,0.02489071468356791
UCI-489,14,1.0,Adaptive_Subspace_Fusion,0.5875,0.08291561975888499,0.5621183786973261,0.08814465406742611
UCI-489,14,1.0,Fused_Grassmann_GSMOTE,0.5875,0.08291561975888499,0.5621183786973261,0.08814465406742611
UCI-489,15,0.0,Adaptive_Subspace_Fusion,0.8625,0.036443449342783124,0.8614612511671336,0.037058312151433646
UCI-489,15,0.0,Fused_Grassmann_GSMOTE,0.8625,0.036443449342783124,0.8614612511671336,0.037058312151433646
UCI-489,15,0.5,Adaptive_Subspace_Fusion,0.875,0.01976423537605237,0.874407096171802,0.01984509300234428
UCI-489,15,0.5,Fused_Grassmann_GSMOTE,0.875,0.01976423537605237,0.874407096171802,0.01984509300234428
UCI-489,15,1.0,Adaptive_Subspace_Fusion,0.6125,0.03644344934278313,0.6037962175423476,0.0379906833919117
UCI-489,15,1.0,Fused_Grassmann_GSMOTE,0.6125,0.03644344934278313,0.6037962175423476,0.0379906833919117
UCI-489,16,0.0,Adaptive_Subspace_Fusion,0.8625,0.036443449342783124,0.8622549019607844,0.03644369660057344
UCI-489,16,0.0,Fused_Grassmann_GSMOTE,0.8625,0.036443449342783124,0.8622549019607844,0.03644369660057344
UCI-489,16,0.5,Adaptive_Subspace_Fusion,0.875,0.04419417382415922,0.8744070961718021,0.044230393580339006
UCI-489,16,0.5,Fused_Grassmann_GSMOTE,0.875,0.04419417382415922,0.8744070961718021,0.044230393580339006
UCI-489,16,1.0,Adaptive_Subspace_Fusion,0.5875,0.07551903733496607,0.5793403191236008,0.07480333065350388
UCI-489,16,1.0,Fused_Grassmann_GSMOTE,0.5875,0.07551903733496607,0.5793403191236008,0.07480333065350388
UCI-489,17,0.0,Adaptive_Subspace_Fusion,0.8375,0.046770717334674264,0.8365592903828197,0.047166233777143754
UCI-489,17,0.0,Fused_Grassmann_GSMOTE,0.8375,0.046770717334674264,0.8365592903828197,0.047166233777143754
UCI-489,17,0.5,Adaptive_Subspace_Fusion,0.875,0.03423265984407288,0.8743090569561158,0.034368557281860355
UCI-489,17,0.5,Fused_Grassmann_GSMOTE,0.875,0.03423265984407288,0.8743090569561158,0.034368557281860355
UCI-489,17,1.0,Adaptive_Subspace_Fusion,0.5625,0.03952847075210474,0.5559069619750735,0.03816543164944738
UCI-489,17,1.0,Fused_Grassmann_GSMOTE,0.5625,0.03952847075210474,0.5559069619750735,0.03816543164944738
UCI-489,18,0.5,Adaptive_Subspace_Fusion,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,18,0.5,Fused_Grassmann_GSMOTE,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,18,0.0,Adaptive_Subspace_Fusion,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,18,0.0,Fused_Grassmann_GSMOTE,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,18,1.0,Adaptive_Subspace_Fusion,0.6375,0.049999999999999996,0.6348590934349448,0.049132704027780846
UCI-489,18,1.0,Fused_Grassmann_GSMOTE,0.6375,0.049999999999999996,0.6348590934349448,0.049132704027780846
UCI-489,19,0.0,Adaptive_Subspace_Fusion,0.8375,0.046770717334674264,0.8348305152020323,0.0485987182843178
UCI-489,19,0.0,Fused_Grassmann_GSMOTE,0.8375,0.046770717334674264,0.8348305152020323,0.0485987182843178
UCI-489,19,0.5,Adaptive_Subspace_Fusion,0.8375,0.04238956239453292,0.8356676003734828,0.043174344708274894
UCI-489,19,0.5,Fused_Grassmann_GSMOTE,0.8375,0.04238956239453292,0.8356676003734828,0.043174344708274894
UCI-489,19,1.0,Adaptive_Subspace_Fusion,0.5875,0.07551903733496607,0.5700466853408029,0.08864488003441862
UCI-489,19,1.0,Fused_Grassmann_GSMOTE,0.5875,0.07551903733496607,0.5700466853408029,0.08864488003441862
PD-252,42,0.0,Adaptive_Subspace_Fusion,0.8084764926870189,0.036625573508699646,0.8038497429344111,0.02749744498031869
PD-252,42,0.0,Fused_Grassmann_GSMOTE,0.7660529963161543,0.035237802828856815,0.7572811811232864,0.028488500557168287
PD-252,42,0.5,Adaptive_Subspace_Fusion,0.8163110478899952,0.03996338723816011,0.8105297284536569,0.03394265348356816
PD-252,42,0.5,Fused_Grassmann_GSMOTE,0.7819847175110333,0.034602949146813375,0.7814457956347989,0.02808937824715298
PD-252,0,0.0,Adaptive_Subspace_Fusion,0.8069017397964766,0.015571701120909144,0.8101410106508379,0.019210635647379997
PD-252,0,0.0,Fused_Grassmann_GSMOTE,0.766978516978517,0.01224896003818861,0.760161154265085,0.016379344955210547
PD-252,42,1.0,Fused_Grassmann_GSMOTE,0.7266312871576031,0.04912792926627536,0.7341938418127614,0.04172472836073501
PD-252,42,1.0,Adaptive_Subspace_Fusion,0.6517780938833571,0.03225171883524718,0.6422825949636779,0.029377522132997897
PD-252,0,0.5,Adaptive_Subspace_Fusion,0.799209432104169,0.02238387762378168,0.80334214285197,0.024092039299676345
PD-252,0,0.5,Fused_Grassmann_GSMOTE,0.7544279096910675,0.01397921236671069,0.7559877257245678,0.015833064427320912
