cohort,normalization,gate,partition_seed,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,standard,auto,6,SMOTE_LogReg,0.8,0.036443449342783124,0.7998039215686275,0.03638483487870086
UCI-489,standard,auto,6,Balanced_RandomForest,0.8,0.053764532919016415,0.7940607741072137,0.05545623099147473
UCI-489,standard,auto,6,PLS_DA,0.775,0.050775240028974745,0.7719972820437218,0.050695373717881444
UCI-489,standard,auto,6,Balanced_LinearSVM,0.75,0.04419417382415922,0.7463851370507718,0.04581610214856254
UCI-489,rank,auto,5,Adaptive_Subspace_Fusion,0.8625,0.0637377439199098,0.8608636788048554,0.0648139849911141
UCI-489,rank,auto,5,Fused_Grassmann_GSMOTE,0.8625,0.0637377439199098,0.8608636788048554,0.0648139849911141
UCI-489,rank,auto,5,Balanced_LogReg,0.85,0.04238956239453292,0.8491083099906629,0.042811948162992865
UCI-489,rank,auto,5,SMOTE_LogReg,0.85,0.04238956239453292,0.8491083099906629,0.042811948162992865
UCI-489,rank,auto,5,Balanced_LinearSVM,0.85,0.0318688719599549,0.8490102707749767,0.03250373489767144
UCI-489,rank,auto,5,Euclidean_RBF_GSMOTE,0.85,0.06123724356957944,0.8484126984126984,0.06229210826686283
UCI-489,rank,auto,5,PLS_DA,0.8375,0.04238956239453292,0.8370588235294119,0.04259930840411655
UCI-489,rank,auto,5,Balanced_RandomForest,0.8,0.03061862178478972,0.799313725490196,0.030798828849746142
UCI-489,standard,auto,5,Euclidean_RBF_GSMOTE,0.8625,0.0637377439199098,0.8612605042016807,0.06483379728558997
UCI-489,standard,auto,5,Adaptive_Subspace_Fusion,0.85,0.05796011559684814,0.8483146591970121,0.05903658469225567
UCI-489,standard,auto,5,Fused_Grassmann_GSMOTE,0.85,0.05796011559684814,0.8483146591970121,0.05903658469225567
UCI-489,standard,auto,5,PLS_DA,0.8375,0.0375,0.8348258466679519,0.03967998186857621
UCI-489,standard,auto,5,Balanced_LogReg,0.825,0.04592793267718459,0.823515406162465,0.04630141128860243
UCI-489,standard,auto,5,SMOTE_LogReg,0.825,0.04592793267718459,0.823515406162465,0.04630141128860243
UCI-489,standard,auto,5,Balanced_RandomForest,0.8125,0.03423265984407288,0.8119607843137254,0.034456495702797144
UCI-489,standard,auto,5,Balanced_LinearSVM,0.8,0.04145780987944249,0.7973987759746274,0.041726292999085965
UCI-489,rank,auto,6,Adaptive_Subspace_Fusion,0.8625,0.036443449342783124,0.8610355640231802,0.036883764893222086
UCI-489,rank,auto,6,Fused_Grassmann_GSMOTE,0.8625,0.036443449342783124,0.8610355640231802,0.036883764893222086
UCI-489,rank,auto,6,Euclidean_RBF_GSMOTE,0.8375,0.0318688719599549,0.8359375248074938,0.03215347133506413
UCI-489,rank,auto,6,Balanced_LogReg,0.825,0.03061862178478972,0.8232904659839644,0.03076980833551717
UCI-489,rank,auto,6,SMOTE_LogReg,0.825,0.03061862178478972,0.8232904659839644,0.03076980833551717
UCI-489,rank,auto,6,PLS_DA,0.8125,0.03952847075210474,0.8093260300071445,0.03971157398907069
UCI-489,rank,auto,6,Balanced_RandomForest,0.7875,0.05796011559684814,0.7826167795053245,0.05961409917485372
UCI-489,rank,auto,6,Balanced_LinearSVM,0.7625,0.03061862178478973,0.7595363975549734,0.03202350379793446
UCI-489,rank,auto,7,Adaptive_Subspace_Fusion,0.875,0.01976423537605237,0.8740102707749766,0.019846096518429196
UCI-489,rank,auto,7,Fused_Grassmann_GSMOTE,0.875,0.01976423537605237,0.8740102707749766,0.019846096518429196
UCI-489,rank,auto,7,Balanced_LogReg,0.875,0.01976423537605237,0.8727909328373725,0.02081594392251953
UCI-489,rank,auto,7,SMOTE_LogReg,0.875,0.01976423537605237,0.8727909328373725,0.02081594392251953
UCI-489,rank,auto,7,Euclidean_RBF_GSMOTE,0.85,0.0318688719599549,0.8486134453781512,0.032426741439545194
UCI-489,rank,auto,7,PLS_DA,0.8125,0.02795084971874737,0.8086227824463119,0.02972154822315846
UCI-489,rank,auto,7,Balanced_RandomForest,0.8,0.023385358667337132,0.7951532110820037,0.025122223570420526
UCI-489,rank,auto,7,Balanced_LinearSVM,0.7875,0.046770717334674264,0.7854473287290625,0.04680679216706631
UCI-489,standard,auto,7,Adaptive_Subspace_Fusion,0.875,0.03423265984407288,0.8739122315592903,0.03436885375100973
UCI-489,standard,auto,7,Fused_Grassmann_GSMOTE,0.875,0.03423265984407288,0.8739122315592903,0.03436885375100973
UCI-489,standard,auto,7,Euclidean_RBF_GSMOTE,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,standard,auto,7,Balanced_LogReg,0.8375,0.0318688719599549,0.8359663865546217,0.03232004800501593
UCI-489,standard,auto,7,SMOTE_LogReg,0.8375,0.0318688719599549,0.8359663865546217,0.03232004800501593
UCI-489,standard,auto,7,PLS_DA,0.825,0.036443449342783124,0.8217819624475972,0.03834167039849395
UCI-489,standard,auto,7,Balanced_LinearSVM,0.8125,0.04419417382415922,0.8116619981325865,0.044193953346102086
UCI-489,standard,auto,7,Balanced_RandomForest,0.8,0.023385358667337132,0.7951532110820037,0.025122223570420526
UCI-489,standard,auto,8,Adaptive_Subspace_Fusion,0.8625,0.03061862178478972,0.8620541549953316,0.030550478771707898
UCI-489,standard,auto,8,Fused_Grassmann_GSMOTE,0.8625,0.03061862178478972,0.8620541549953316,0.030550478771707898
UCI-489,standard,auto,8,Euclidean_RBF_GSMOTE,0.85,0.0318688719599549,0.849407096171802,0.03180277375354577
UCI-489,standard,auto,8,PLS_DA,0.8375,0.01530931089239486,0.8366619981325865,0.015249642766956987
UCI-489,standard,auto,8,Balanced_RandomForest,0.825,0.023385358667337132,0.8239122315592903,0.024062849950341376
UCI-489,standard,auto,8,Balanced_LogReg,0.825,0.012499999999999999,0.8215762634338486,0.012931959282318542
UCI-489,standard,auto,8,SMOTE_LogReg,0.825,0.012499999999999999,0.8215762634338486,0.012931959282318542
UCI-489,standard,auto,8,Balanced_LinearSVM,0.7875,0.0318688719599549,0.7825187402896382,0.033342429534800745
UCI-489,rank,auto,8,Euclidean_RBF_GSMOTE,0.8625,0.03061862178478972,0.862450980392157,0.030588628076915047
UCI-489,rank,auto,8,PLS_DA,0.85,0.0375,0.8488141923436041,0.03804804751831271
UCI-489,rank,auto,8,Adaptive_Subspace_Fusion,0.8375,0.024999999999999998,0.8361336032388664,0.025376110805696885
UCI-489,rank,auto,8,Fused_Grassmann_GSMOTE,0.8375,0.024999999999999998,0.8361336032388664,0.025376110805696885
UCI-489,rank,auto,8,Balanced_RandomForest,0.8125,0.02795084971874737,0.8115592903828197,0.028401491835912843
UCI-489,rank,auto,8,Balanced_LogReg,0.8125,0.02795084971874737,0.8086227824463119,0.02972154822315846
UCI-489,rank,auto,8,SMOTE_LogReg,0.8125,0.02795084971874737,0.8086227824463119,0.02972154822315846
UCI-489,rank,auto,8,Balanced_LinearSVM,0.7875,0.0318688719599549,0.7849285544177185,0.0336258633640367
UCI-489,rank,auto,9,PLS_DA,0.8625,0.023385358667337132,0.8613632119514472,0.023399937223003448
UCI-489,rank,auto,9,Adaptive_Subspace_Fusion,0.8625,0.041457809879442496,0.8607656395891692,0.04198291401988224
UCI-489,rank,auto,9,Fused_Grassmann_GSMOTE,0.8625,0.041457809879442496,0.8607656395891692,0.04198291401988224
UCI-489,rank,auto,9,Euclidean_RBF_GSMOTE,0.8375,0.0318688719599549,0.8359663865546219,0.03232004800501593
UCI-489,rank,auto,9,Balanced_LogReg,0.8375,0.0318688719599549,0.8334267040149393,0.034135585663251616
UCI-489,rank,auto,9,SMOTE_LogReg,0.8375,0.0318688719599549,0.8334267040149393,0.034135585663251616
UCI-489,rank,auto,9,Balanced_LinearSVM,0.8125,0.04419417382415922,0.8092329428397541,0.046063300020717714
UCI-489,rank,auto,9,Balanced_RandomForest,0.8,0.04145780987944249,0.7986181139122316,0.04180444727070524
UCI-489,standard,auto,9,Adaptive_Subspace_Fusion,0.85,0.024999999999999998,0.8478936405871391,0.025505063024486033
UCI-489,standard,auto,9,Fused_Grassmann_GSMOTE,0.85,0.024999999999999998,0.8478936405871391,0.025505063024486033
UCI-489,standard,auto,9,Euclidean_RBF_GSMOTE,0.8375,0.0318688719599549,0.8347470486170178,0.03257034389980177
UCI-489,standard,auto,9,Balanced_RandomForest,0.825,0.04145780987944249,0.8240149393090569,0.041531279178338
UCI-489,standard,auto,9,Balanced_LogReg,0.825,0.036443449342783124,0.8225756132412478,0.038608947297644206
UCI-489,standard,auto,9,SMOTE_LogReg,0.825,0.036443449342783124,0.8225756132412478,0.038608947297644206
UCI-489,standard,auto,9,PLS_DA,0.8125,0.05590169943749474,0.809732475986346,0.057281762235235366
UCI-489,standard,auto,9,Balanced_LinearSVM,0.7875,0.054486236794258416,0.7846732026143791,0.055613965677186086
UCI-489,standard,auto,10,Euclidean_RBF_GSMOTE,0.8625,0.04592793267718459,0.8613632119514472,0.04647638015844813
UCI-489,standard,auto,10,Adaptive_Subspace_Fusion,0.85,0.050775240028974745,0.8490102707749767,0.051176095809450955
UCI-489,standard,auto,10,Fused_Grassmann_GSMOTE,0.85,0.050775240028974745,0.8490102707749767,0.051176095809450955
UCI-489,standard,auto,10,Balanced_RandomForest,0.825,0.05376453291901641,0.8234173669467786,0.05411742796913404
UCI-489,standard,auto,10,PLS_DA,0.8125,0.04419417382415922,0.8120588235294118,0.04433324227514475
UCI-489,standard,auto,10,Balanced_LogReg,0.8,0.049999999999999996,0.7995098039215686,0.04993892848509205
UCI-489,standard,auto,10,Balanced_LinearSVM,0.8,0.049999999999999996,0.7995098039215686,0.04993892848509205
UCI-489,standard,auto,10,SMOTE_LogReg,0.8,0.049999999999999996,0.7995098039215686,0.04993892848509205
UCI-489,rank,auto,10,Euclidean_RBF_GSMOTE,0.8625,0.04592793267718459,0.862156862745098,0.045988230445243417
UCI-489,rank,auto,10,Adaptive_Subspace_Fusion,0.85,0.050775240028974745,0.8498039215686275,0.0507814746727056
UCI-489,rank,auto,10,Fused_Grassmann_GSMOTE,0.85,0.050775240028974745,0.8498039215686275,0.0507814746727056
UCI-489,rank,auto,10,Balanced_RandomForest,0.8125,0.052291251658379716,0.8111671335200746,0.05267796114621415
UCI-489,rank,auto,10,PLS_DA,0.8125,0.06555055301063448,0.8109663865546219,0.06647509283441279
UCI-489,rank,auto,10,Balanced_LinearSVM,0.8,0.0637377439199098,0.799313725490196,0.06401660504022831
UCI-489,rank,auto,10,Balanced_LogReg,0.7875,0.06434768838116875,0.7869607843137254,0.06460509083964729
UCI-489,rank,auto,10,SMOTE_LogReg,0.7875,0.06434768838116875,0.7869607843137254,0.06460509083964729
UCI-489,rank,auto,11,Adaptive_Subspace_Fusion,0.8625,0.03061862178478972,0.8579271708683475,0.03354066194148953
UCI-489,rank,auto,11,Fused_Grassmann_GSMOTE,0.8625,0.03061862178478972,0.8579271708683475,0.03354066194148953
UCI-489,rank,auto,11,Balanced_LogReg,0.8375,0.024999999999999998,0.8332047312852267,0.026039320978934778
UCI-489,rank,auto,11,SMOTE_LogReg,0.8375,0.024999999999999998,0.8332047312852267,0.026039320978934778
UCI-489,rank,auto,11,PLS_DA,0.8125,0.02795084971874737,0.8074323062558356,0.029901391881033048
UCI-489,rank,auto,11,Euclidean_RBF_GSMOTE,0.8125,0.02795084971874737,0.8048926237161531,0.03128117947247834
UCI-489,rank,auto,11,Balanced_RandomForest,0.775,0.015309310892394864,0.7693595602883528,0.01632998601390777
UCI-489,rank,auto,11,Balanced_LinearSVM,0.725,0.0375,0.7205865342088253,0.03683917648600486
UCI-489,standard,auto,11,Adaptive_Subspace_Fusion,0.8375,0.024999999999999998,0.8316097937150569,0.02781602837869892
UCI-489,standard,auto,11,Fused_Grassmann_GSMOTE,0.8375,0.024999999999999998,0.8316097937150569,0.02781602837869892
