cohort,partition_seed,members,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,6,"4,8,16,32",Subspace_q16,0.8375,0.04238956239453292,0.833921568627451,0.04416293971348454
UCI-489,6,"4,8,16,32",Balanced_LogReg,0.825,0.03061862178478972,0.8232904659839644,0.03076980833551717
UCI-489,6,"4,8,16,32",SMOTE_LogReg,0.825,0.03061862178478972,0.8232904659839644,0.03076980833551717
UCI-489,6,"4,8,16,32",Adaptive_Subspace_Fusion,0.825,0.036443449342783124,0.8214705882352942,0.03823730512559657
UCI-489,6,"4,8,16,32",Subspace_q32,0.825,0.036443449342783124,0.8210737628384687,0.03810023698916923
UCI-489,6,"4,8,16,32",Balanced_LinearSVM,0.7625,0.03061862178478973,0.7595363975549734,0.03202350379793446
UCI-489,6,"8,16,32",Adaptive_Subspace_Fusion,0.8375,0.04238956239453292,0.833921568627451,0.04416293971348454
UCI-489,8,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8625,0.03061862178478972,0.862450980392157,0.030588628076915047
UCI-489,8,"4,8,16,32",Subspace_q4,0.8625,0.012499999999999999,0.8615592903828198,0.012456549616279799
UCI-489,8,"4,8,16,32",Fused_Grassmann_GSMOTE,0.8375,0.024999999999999998,0.8361336032388664,0.025376110805696885
UCI-489,8,"4,8,16,32",Adaptive_Subspace_Fusion,0.825,0.023385358667337132,0.8243090569561158,0.023214740005854283
UCI-489,8,"4,8,16,32",Subspace_q16,0.825,0.036443449342783124,0.8242110177404296,0.03655293848445684
UCI-489,8,"4,8,16,32",Subspace_q32,0.825,0.049999999999999996,0.8234126984126984,0.05109271457350149
UCI-489,8,"4,8,16,32",Balanced_LogReg,0.8125,0.02795084971874737,0.8086227824463119,0.02972154822315846
UCI-489,8,"4,8,16,32",SMOTE_LogReg,0.8125,0.02795084971874737,0.8086227824463119,0.02972154822315846
UCI-489,8,"4,8,16,32",Balanced_LinearSVM,0.7875,0.0318688719599549,0.7849285544177185,0.0336258633640367
UCI-489,8,"4,8,16,32",Subspace_q8,0.775,0.03186887195995491,0.7734173669467788,0.031845410715892475
UCI-489,8,"8,16,32",Adaptive_Subspace_Fusion,0.8125,0.048412291827592706,0.8107656395891691,0.04943884869729701
UCI-489,9,"4,8,16,32",Fused_Grassmann_GSMOTE,0.8625,0.041457809879442496,0.8607656395891692,0.04198291401988224
UCI-489,9,"4,8,16,32",Adaptive_Subspace_Fusion,0.8375,0.0318688719599549,0.8359663865546219,0.03232004800501593
UCI-489,9,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8375,0.0318688719599549,0.8359663865546219,0.03232004800501593
UCI-489,9,"4,8,16,32",Balanced_LogReg,0.8375,0.0318688719599549,0.8334267040149393,0.034135585663251616
UCI-489,9,"4,8,16,32",SMOTE_LogReg,0.8375,0.0318688719599549,0.8334267040149393,0.034135585663251616
UCI-489,9,"4,8,16,32",Subspace_q4,0.825,0.03061862178478973,0.8237161531279178,0.03110821906362292
UCI-489,9,"4,8,16,32",Subspace_q16,0.825,0.03061862178478973,0.8224968151903136,0.0312489120584114
UCI-489,9,"4,8,16,32",Balanced_LinearSVM,0.8125,0.04419417382415922,0.8092329428397541,0.046063300020717714
UCI-489,9,"4,8,16,32",Subspace_q8,0.8125,0.04419417382415922,0.8088361174429286,0.04592315385419855
UCI-489,9,"4,8,16,32",Subspace_q32,0.8,0.04145780987944249,0.7940462014765421,0.04400615301958066
UCI-489,9,"8,16,32",Adaptive_Subspace_Fusion,0.8125,0.03952847075210474,0.8085131380487418,0.04131185242874901
UCI-489,7,"4,8,16,32",Subspace_q32,0.9,0.0318688719599549,0.8981877582341978,0.03288097694475283
UCI-489,7,"4,8,16,32",Subspace_q16,0.8875,0.023385358667337132,0.8856387386263547,0.024491113262582426
UCI-489,7,"4,8,16,32",Fused_Grassmann_GSMOTE,0.875,0.01976423537605237,0.8740102707749766,0.019846096518429196
UCI-489,7,"4,8,16,32",Adaptive_Subspace_Fusion,0.875,0.01976423537605237,0.8731877582341978,0.0208207978417937
UCI-489,7,"4,8,16,32",Subspace_q4,0.875,0.01976423537605237,0.8731877582341978,0.0208207978417937
UCI-489,7,"4,8,16,32",Subspace_q8,0.875,0.01976423537605237,0.8731877582341978,0.0208207978417937
UCI-489,7,"4,8,16,32",Balanced_LogReg,0.875,0.01976423537605237,0.8727909328373725,0.02081594392251953
UCI-489,7,"4,8,16,32",SMOTE_LogReg,0.875,0.01976423537605237,0.8727909328373725,0.02081594392251953
UCI-489,7,"4,8,16,32",Euclidean_RBF_GSMOTE,0.85,0.0318688719599549,0.8486134453781512,0.032426741439545194
UCI-489,7,"4,8,16,32",Balanced_LinearSVM,0.7875,0.046770717334674264,0.7854473287290625,0.04680679216706631
UCI-489,7,"8,16,32",Adaptive_Subspace_Fusion,0.875,0.01976423537605237,0.8731877582341978,0.0208207978417937
UCI-489,10,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8625,0.04592793267718459,0.862156862745098,0.045988230445243417
UCI-489,10,"4,8,16,32",Adaptive_Subspace_Fusion,0.85,0.046770717334674264,0.85,0.046770717334674264
UCI-489,10,"4,8,16,32",Subspace_q16,0.85,0.0318688719599549,0.8498039215686275,0.03187880439939115
UCI-489,10,"4,8,16,32",Fused_Grassmann_GSMOTE,0.85,0.050775240028974745,0.8498039215686275,0.0507814746727056
UCI-489,10,"4,8,16,32",Subspace_q8,0.85,0.046770717334674264,0.8496031746031747,0.046719344525958925
UCI-489,10,"4,8,16,32",Subspace_q32,0.825,0.036443449342783124,0.8248039215686275,0.03641850064929203
UCI-489,10,"4,8,16,32",Subspace_q4,0.825,0.053764532919016415,0.8246078431372549,0.053930124098456274
UCI-489,10,"4,8,16,32",Balanced_LinearSVM,0.8,0.0637377439199098,0.799313725490196,0.06401660504022831
UCI-489,10,"4,8,16,32",Balanced_LogReg,0.7875,0.06434768838116875,0.7869607843137254,0.06460509083964729
UCI-489,10,"4,8,16,32",SMOTE_LogReg,0.7875,0.06434768838116875,0.7869607843137254,0.06460509083964729
UCI-489,10,"8,16,32",Adaptive_Subspace_Fusion,0.8375,0.0375,0.8374509803921569,0.03746733807638055
UCI-489,11,"4,8,16,32",Subspace_q8,0.8625,0.023385358667337132,0.8589245360762389,0.024703533748194034
UCI-489,11,"4,8,16,32",Fused_Grassmann_GSMOTE,0.8625,0.03061862178478972,0.8579271708683475,0.03354066194148953
UCI-489,11,"4,8,16,32",Adaptive_Subspace_Fusion,0.85,0.03186887195995491,0.8444575995040392,0.03471002997731393
UCI-489,11,"4,8,16,32",Balanced_LogReg,0.8375,0.024999999999999998,0.8332047312852267,0.026039320978934778
UCI-489,11,"4,8,16,32",SMOTE_LogReg,0.8375,0.024999999999999998,0.8332047312852267,0.026039320978934778
UCI-489,11,"4,8,16,32",Subspace_q32,0.8375,0.024999999999999998,0.8316097937150569,0.02781602837869892
UCI-489,11,"4,8,16,32",Subspace_q4,0.825,0.023385358667337132,0.8218992428280354,0.023820010905532058
UCI-489,11,"4,8,16,32",Subspace_q16,0.825,0.036443449342783124,0.815679057784321,0.04254794884990063
UCI-489,11,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8125,0.02795084971874737,0.8048926237161531,0.03128117947247834
UCI-489,11,"4,8,16,32",Balanced_LinearSVM,0.725,0.0375,0.7205865342088253,0.03683917648600486
UCI-489,11,"8,16,32",Adaptive_Subspace_Fusion,0.85,0.03186887195995491,0.8444575995040392,0.03471002997731393
UCI-489,12,"4,8,16,32",Fused_Grassmann_GSMOTE,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,12,"4,8,16,32",Subspace_q16,0.825,0.04592793267718459,0.8243090569561158,0.04597502675061458
UCI-489,12,"4,8,16,32",Subspace_q8,0.825,0.036443449342783124,0.8236134453781514,0.03669688852769412
UCI-489,12,"4,8,16,32",Subspace_q4,0.8125,0.04419417382415922,0.8120588235294118,0.04433324227514475
UCI-489,12,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8125,0.02795084971874737,0.8119561157796452,0.027730833465735353
UCI-489,12,"4,8,16,32",Adaptive_Subspace_Fusion,0.8125,0.04419417382415922,0.8116619981325865,0.044193953346102086
UCI-489,12,"4,8,16,32",Subspace_q32,0.8125,0.04419417382415922,0.8116619981325865,0.044193953346102086
UCI-489,12,"4,8,16,32",Balanced_LogReg,0.775,0.050775240028974745,0.7709594499068183,0.05135395596325344
UCI-489,12,"4,8,16,32",SMOTE_LogReg,0.775,0.050775240028974745,0.7709594499068183,0.05135395596325344
UCI-489,12,"4,8,16,32",Balanced_LinearSVM,0.75,0.04419417382415922,0.7463851370507717,0.04471153670925816
UCI-489,12,"8,16,32",Adaptive_Subspace_Fusion,0.8125,0.04419417382415922,0.8116619981325865,0.044193953346102086
UCI-489,13,"4,8,16,32",Euclidean_RBF_GSMOTE,0.875,0.04419417382415922,0.874407096171802,0.044230393580339006
UCI-489,13,"4,8,16,32",Subspace_q32,0.8625,0.049999999999999996,0.8620541549953314,0.04995830014302503
UCI-489,13,"4,8,16,32",Fused_Grassmann_GSMOTE,0.8625,0.045927932677184584,0.8609375248074939,0.04633709808351314
UCI-489,13,"4,8,16,32",Balanced_LogReg,0.85,0.054486236794258416,0.8488141923436041,0.054976657329598506
UCI-489,13,"4,8,16,32",SMOTE_LogReg,0.85,0.054486236794258416,0.8488141923436041,0.054976657329598506
UCI-489,13,"4,8,16,32",Adaptive_Subspace_Fusion,0.85,0.050775240028974745,0.8485845836310233,0.051023879550091175
UCI-489,13,"4,8,16,32",Subspace_q16,0.85,0.050775240028974745,0.8485845836310233,0.051023879550091175
UCI-489,13,"4,8,16,32",Subspace_q4,0.825,0.06373774391990981,0.8230943875525918,0.06405905676731972
UCI-489,13,"4,8,16,32",Subspace_q8,0.8125,0.052291251658379716,0.8088235294117647,0.05346329321736101
UCI-489,13,"4,8,16,32",Balanced_LinearSVM,0.75,0.03952847075210474,0.7491176470588237,0.039761036493884946
UCI-489,13,"8,16,32",Adaptive_Subspace_Fusion,0.8625,0.049999999999999996,0.8620541549953314,0.04995830014302503
UCI-489,14,"4,8,16,32",Euclidean_RBF_GSMOTE,0.85,0.0318688719599549,0.8485845836310233,0.03226354419995132
UCI-489,14,"4,8,16,32",Subspace_q4,0.8375,0.054486236794258416,0.8370541549953314,0.05439677095767926
UCI-489,14,"4,8,16,32",Fused_Grassmann_GSMOTE,0.8375,0.024999999999999998,0.8369561157796452,0.02489071468356791
UCI-489,14,"4,8,16,32",Adaptive_Subspace_Fusion,0.825,0.03644344934278313,0.8246078431372549,0.03668730414291699
UCI-489,14,"4,8,16,32",Subspace_q8,0.825,0.03644344934278313,0.8246078431372549,0.03668730414291699
UCI-489,14,"4,8,16,32",Subspace_q16,0.825,0.03644344934278313,0.8246078431372549,0.03668730414291699
UCI-489,14,"4,8,16,32",Subspace_q32,0.825,0.041457809879442496,0.8244117647058824,0.04165005435850148
UCI-489,14,"4,8,16,32",Balanced_LogReg,0.8,0.049999999999999996,0.7983193277310925,0.05098223901601298
UCI-489,14,"4,8,16,32",SMOTE_LogReg,0.8,0.049999999999999996,0.7983193277310925,0.05098223901601298
UCI-489,14,"4,8,16,32",Balanced_LinearSVM,0.8,0.053764532919016415,0.798216619981326,0.05456028595962151
UCI-489,14,"8,16,32",Adaptive_Subspace_Fusion,0.825,0.03644344934278313,0.8246078431372549,0.03668730414291699
UCI-489,15,"4,8,16,32",Fused_Grassmann_GSMOTE,0.875,0.01976423537605237,0.874407096171802,0.01984509300234428
