cohort,partition_seed,variant,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
PD-252,9,with_gender,SMOTE_LogReg,0.7614682496261443,0.02553532149928993,0.7678416786826554,0.024487436527583964
PD-252,9,without_gender,Adaptive_Subspace_Fusion,0.7645384250647409,0.022444274062199607,0.7653793521093448,0.018336826390077103
PD-252,9,without_gender,Balanced_LinearSVM,0.7563363971258708,0.032443898328771176,0.7656734208539457,0.033777024462268296
PD-252,9,without_gender,Balanced_LogReg,0.7587655469234417,0.027539723729580894,0.7642553737264874,0.027484468727605463
PD-252,9,without_gender,Balanced_RandomForest,0.6464538425064741,0.04107196904960899,0.666358548649683,0.05119067024517761
PD-252,9,without_gender,Euclidean_RBF_GSMOTE,0.7414842980632453,0.022346307100233914,0.7348068836457183,0.015540477532330387
PD-252,9,without_gender,Fused_Grassmann_GSMOTE,0.7521528613633877,0.025708118529249334,0.7507846083663654,0.020392286703074934
PD-252,9,without_gender,PLS_DA,0.7802421855053434,0.025412935095199533,0.7614861107769574,0.01942741238412749
PD-252,9,without_gender,SMOTE_LogReg,0.7725042856621804,0.022912655544020645,0.7785041717341644,0.02061557080613208
PD-252,10,with_gender,Adaptive_Subspace_Fusion,0.7677280519385782,0.017102798855749706,0.7777898773091398,0.01965064431438428
PD-252,10,with_gender,Balanced_LinearSVM,0.7583898676003938,0.03832749099743211,0.7672350877249061,0.031292680358372425
PD-252,10,with_gender,Balanced_LogReg,0.7608190173979648,0.0319525847629398,0.7666400216574318,0.023437648109499224
PD-252,10,with_gender,Balanced_RandomForest,0.6488829923040449,0.020436944294071203,0.668454409350807,0.024674281426051634
PD-252,10,with_gender,Euclidean_RBF_GSMOTE,0.7313737826895721,0.05007147085128059,0.7160808607599767,0.04261028395339816
PD-252,10,with_gender,Fused_Grassmann_GSMOTE,0.7395420724368094,0.04077211797573158,0.7370103801726284,0.035129787512372175
PD-252,10,with_gender,PLS_DA,0.7363287376445271,0.01061821496018814,0.7453224321258376,0.020637644408890248
PD-252,10,with_gender,SMOTE_LogReg,0.7634505963453332,0.033982716609338284,0.7708303142511255,0.026504537188340505
PD-252,10,without_gender,Adaptive_Subspace_Fusion,0.733270416165153,0.024852351002863354,0.7393417838478914,0.022568576265947667
PD-252,10,without_gender,Balanced_LinearSVM,0.7479948572053836,0.033426577153724456,0.7574231026364386,0.028028897104304264
PD-252,10,without_gender,Balanced_LogReg,0.7608190173979648,0.0319525847629398,0.7666400216574318,0.023437648109499224
PD-252,10,without_gender,Balanced_RandomForest,0.6619095816464237,0.018177842095847316,0.6866150452736685,0.0216289329546924
PD-252,10,without_gender,Euclidean_RBF_GSMOTE,0.7339342378816063,0.04946797036447265,0.7191472623077196,0.04166660531207038
PD-252,10,without_gender,Fused_Grassmann_GSMOTE,0.7318497647445017,0.037728479748400476,0.7310308193985471,0.03281442220448648
PD-252,10,without_gender,PLS_DA,0.7363287376445271,0.01061821496018814,0.7453224321258376,0.020637644408890248
PD-252,10,without_gender,SMOTE_LogReg,0.7608190173979648,0.0319525847629398,0.7666400216574318,0.023437648109499224
PD-252,11,with_gender,Adaptive_Subspace_Fusion,0.7357478936426305,0.012522617395481089,0.7489694968396124,0.014897419209616798
PD-252,11,with_gender,Balanced_LinearSVM,0.7129673195462669,0.028702774627324044,0.7223558980003668,0.030332896825309034
PD-252,11,with_gender,Balanced_LogReg,0.7180280482912063,0.023039742132960853,0.7263700415894873,0.02613614492791389
PD-252,11,with_gender,Balanced_RandomForest,0.6183161906846117,0.029928211966278873,0.6240280814266763,0.04244636564818121
PD-252,11,with_gender,Euclidean_RBF_GSMOTE,0.7279589305905096,0.018962978043532037,0.7227484334539129,0.01896817858526773
PD-252,11,with_gender,Fused_Grassmann_GSMOTE,0.7357706897180581,0.032233261797096575,0.739983116509383,0.03303384635041478
PD-252,11,with_gender,PLS_DA,0.7055002370791844,0.034918673542172554,0.7103775146283413,0.036671636903613795
PD-252,11,with_gender,SMOTE_LogReg,0.7103357405988985,0.02728618195949975,0.7176618051733626,0.0270286282668353
PD-252,11,without_gender,Adaptive_Subspace_Fusion,0.7410821752927015,0.011169865558842555,0.75741774461092,0.014117779621577507
PD-252,11,without_gender,Balanced_LinearSVM,0.7156700222489696,0.02976767701638946,0.7264962488775598,0.031861529005507205
PD-252,11,without_gender,Balanced_LogReg,0.7334126636758216,0.014583575511784892,0.7417193947679545,0.02056134382369805
PD-252,11,without_gender,Balanced_RandomForest,0.6207453404821826,0.02816114516821888,0.626248401201585,0.04014619708452127
PD-252,11,without_gender,Euclidean_RBF_GSMOTE,0.7411277674435569,0.02171575596320747,0.7368838959818886,0.0211855503899178
PD-252,11,without_gender,Fused_Grassmann_GSMOTE,0.741033847612795,0.02400424411399437,0.7474376643047529,0.02500839461127064
PD-252,11,without_gender,PLS_DA,0.7055002370791844,0.034918673542172554,0.7103775146283413,0.036671636903613795
PD-252,11,without_gender,SMOTE_LogReg,0.7463681292628661,0.01743044726245813,0.7554636774506861,0.019742930702006688
PD-252,12,with_gender,Adaptive_Subspace_Fusion,0.7960681329102381,0.03358036832465593,0.8031696110906636,0.03194645853391906
PD-252,12,with_gender,Balanced_LinearSVM,0.7440812269759637,0.020574591551510136,0.7559840161287023,0.020948841412927584
PD-252,12,with_gender,Balanced_LogReg,0.8019121348068715,0.016325644253759423,0.8086243131391873,0.01993365943035674
PD-252,12,with_gender,Balanced_RandomForest,0.6271555968924389,0.026957250737305496,0.6419048188062,0.033987437474486314
PD-252,12,with_gender,Euclidean_RBF_GSMOTE,0.7554437028121239,0.043369108120065086,0.7499220173933645,0.04463751171605596
PD-252,12,with_gender,Fused_Grassmann_GSMOTE,0.758622387569756,0.02858545713044116,0.7648087149826279,0.0317479923822218
PD-252,12,with_gender,PLS_DA,0.7533710836342415,0.014424865268270089,0.750343539102324,0.011593685895491325
PD-252,12,with_gender,SMOTE_LogReg,0.794219827114564,0.016108629166566406,0.8019933582816877,0.01876505683531109
PD-252,12,without_gender,Adaptive_Subspace_Fusion,0.79023507312981,0.0377575516214405,0.7943272179616067,0.03577959670317544
PD-252,12,without_gender,Balanced_LinearSVM,0.7493443848707007,0.024106485624060158,0.764587254995099,0.025968152530757935
PD-252,12,without_gender,Balanced_LogReg,0.7908760987708356,0.015473766280349922,0.7975001840264999,0.01959571862916053
PD-252,12,without_gender,Balanced_RandomForest,0.6220948681474997,0.025497871863463372,0.6345899289948538,0.03180059015411778
PD-252,12,without_gender,Euclidean_RBF_GSMOTE,0.7503118503118502,0.033321985221941026,0.7469389117210015,0.034683124473669016
PD-252,12,without_gender,Fused_Grassmann_GSMOTE,0.7529917569391253,0.035758765770816374,0.7614290427860222,0.03883845648436167
PD-252,12,without_gender,PLS_DA,0.7538096801254696,0.014322194180242961,0.7453530516818188,0.013053374698947181
PD-252,12,without_gender,SMOTE_LogReg,0.783183791078528,0.013782322873095368,0.7908692291690005,0.017374894801195816
